"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"OAK","PHI","Chad Pinder","Sean Murphy","Bryce Harper","J.T. Realmuto",19500,46.2,2.4
"OAK","PHI","Chad Pinder","Seth Brown","Bryce Harper","J.T. Realmuto",18100,46.2,2.6
"PHI","TB","Bryce Harper","J.T. Realmuto","Ji-Man Choi","Josh Lowe",18500,46.2,2.5
"ARI","PHI","David Peralta","Pavin Smith","Bryce Harper","J.T. Realmuto",18500,46.2,2.5
"COL","PHI","Connor Joe","Kris Bryant","Bryce Harper","Rhys Hoskins",19800,46.2,2.3
"ARI","PHI","Ketel Marte","Seth Beer","Bryce Harper","Jean Segura",19400,46.2,2.4
"COL","PHI","Connor Joe","Randal Grichuk","Bryce Harper","J.T. Realmuto",18900,46.2,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Jake Cronenworth","Wil Myers",19100,46.2,2.4
"HOU","PHI","Michael Brantley","Yuli Gurriel","Bryce Harper","J.T. Realmuto",19900,46.1,2.3
"PHI","SF","Bryce Harper","J.T. Realmuto","Brandon Crawford","Steven Duggar",19800,46.1,2.3
"PHI","WSH","Bryce Harper","Kyle Schwarber","Maikel Franco","Nelson Cruz",19200,46.1,2.4
"ARI","PHI","Daulton Varsho","David Peralta","Bryce Harper","Kyle Schwarber",18900,46.1,2.4
"ARI","PHI","Ketel Marte","Pavin Smith","Bryce Harper","Kyle Schwarber",19900,46.1,2.3
"OAK","PHI","Elvis Andrus","Seth Brown","Bryce Harper","Nick Castellanos",18900,46.1,2.4
"PHI","WSH","Bryce Harper","J.T. Realmuto","Josh Bell","Maikel Franco",19500,46.1,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Luke Voit","Wil Myers",18200,46.1,2.5
"PHI","WSH","Bryce Harper","Jean Segura","Lane Thomas","Nelson Cruz",18500,46.1,2.5
"MIL","PHI","Christian Yelich","Rowdy Tellez","Bryce Harper","J.T. Realmuto",19300,46.1,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Jake Cronenworth","Luke Voit",19300,46.1,2.4
"OAK","PHI","Jed Lowrie","Seth Brown","Bryce Harper","Rhys Hoskins",18700,46.1,2.5
"COL","PHI","Kris Bryant","Randal Grichuk","Bryce Harper","Nick Castellanos",19500,46.1,2.4
"ARI","PHI","Carson Kelly","Daulton Varsho","Bryce Harper","Nick Castellanos",19500,46.1,2.4
"OAK","PHI","Sean Murphy","Seth Brown","Bryce Harper","Kyle Schwarber",19800,46.1,2.3
"ARI","PHI","David Peralta","Seth Beer","Bryce Harper","Nick Castellanos",19300,46.1,2.4
"PHI","SF","Bryce Harper","Kyle Schwarber","Brandon Belt","Steven Duggar",19400,46.1,2.4
"ARI","PHI","Christian Walker","Ketel Marte","Bryce Harper","Jean Segura",19200,46.1,2.4
"PHI","SD","Bryce Harper","J.T. Realmuto","Austin Nola","Trent Grisham",19300,46,2.4
"MIL","PHI","Andrew McCutchen","Kolten Wong","Bryce Harper","J.T. Realmuto",19900,46,2.3
"PHI","WSH","Bryce Harper","J.T. Realmuto","Lane Thomas","Maikel Franco",18000,46,2.6
"LAD","PHI","Edwin Rios","Freddie Freeman","Bryce Harper","J.T. Realmuto",18900,46,2.4
"PHI","SF","Bryce Harper","J.T. Realmuto","Joey Bart","Mike Yastrzemski",19000,46,2.4
"LAD","PHI","Cody Bellinger","Will Smith","Bryce Harper","Nick Castellanos",19400,46,2.4
"PHI","SF","Bryce Harper","Jean Segura","Brandon Belt","Wilmer Flores",19500,46,2.4
"PHI","TB","Bryce Harper","J.T. Realmuto","Kevin Kiermaier","Randy Arozarena",19700,46,2.3
"ARI","PHI","Christian Walker","David Peralta","Bryce Harper","Nick Castellanos",19100,46,2.4
"ARI","PHI","Pavin Smith","Seth Beer","Bryce Harper","J.T. Realmuto",18200,46,2.5
"OAK","PHI","Sheldon Neuse","Tony Kemp","Bryce Harper","J.T. Realmuto",18500,46,2.5
"PHI","TB","Bryce Harper","J.T. Realmuto","Josh Lowe","Randy Arozarena",19600,45.9,2.3
"ARI","PHI","Daulton Varsho","Seth Beer","Bryce Harper","Kyle Schwarber",18600,45.9,2.5
"ATL","PHI","Adam Duvall","Travis d'Arnaud","Bryce Harper","J.T. Realmuto",18800,45.9,2.4
"COL","PHI","Brendan Rodgers","Connor Joe","Bryce Harper","J.T. Realmuto",19600,45.9,2.3
"PHI","SF","J.T. Realmuto","Rhys Hoskins","Brandon Belt","Joc Pederson",19500,45.9,2.4
"ARI","PHI","Daulton Varsho","Sergio Alcantara","Bryce Harper","Nick Castellanos",18200,45.9,2.5
"ARI","PHI","Daulton Varsho","Ketel Marte","Bryce Harper","Didi Gregorius",19900,45.9,2.3
"PHI","SD","Bryce Harper","J.T. Realmuto","Ha-Seong Kim","Trent Grisham",18500,45.9,2.5
"MIL","PHI","Christian Yelich","Lorenzo Cain","Bryce Harper","J.T. Realmuto",19700,45.9,2.3
"PHI","WSH","Bryce Harper","Nick Castellanos","Cesar Hernandez","Maikel Franco",19000,45.9,2.4
"HOU","PHI","Chas McCormick","Michael Brantley","Bryce Harper","J.T. Realmuto",18800,45.9,2.4
"LAD","PHI","Gavin Lux","Will Smith","Bryce Harper","J.T. Realmuto",19200,45.9,2.4
"PHI","WSH","J.T. Realmuto","Rhys Hoskins","Cesar Hernandez","Nelson Cruz",19400,45.9,2.4
"ARI","PHI","Christian Walker","Pavin Smith","Bryce Harper","J.T. Realmuto",18000,45.9,2.5
