"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Rams","D","LAR",2700,6.11,2.3,"28793590","@SEA",46,5.5,20.25
"Cardinals","D","ARI",2500,6.08,2.4,"28793596","@WAS",38,7,15.5
"Bucs","D","TB",2200,6.07,2.8,"28793599","@MIN",45.5,6,19.75
"Evan Hull","RB","IND",4000,6.05,1.5,"28792545","JAX",45,5,20
"Patriots","D","NE",2700,6,2.2,"28793591","PHI",45,4,20.5
"Panthers","D","CAR",2600,6,2.3,"28793593","@ATL",39.5,3.5,18
"Puka Nacua","WR","LAR",3000,5.99,2,"28792807","@SEA",46,5.5,20.25
"Allen Robinson","WR","PIT",3700,5.87,1.6,"28792729","SF",41,2,19.5
"Chuba Hubbard","RB","CAR",5000,5.81,1.2,"28792341","@ATL",39.5,3.5,18
"Gus Edwards","RB","BAL",4500,5.81,1.3,"28792379","HOU",43.5,-10,26.75
"Kendre Miller","RB","NO",4300,5.77,1.3,"28792385","TEN",41,-3,22
"Dolphins","D","MIA",2500,5.74,2.3,"28793595","@LAC",51,3,24
"Jaxon Smith-Njigba","WR","SEA",4900,5.68,1.2,"28792679","LAR",46,-5.5,25.75
"Chase Claypool","WR","CHI",3400,5.68,1.7,"28792743","GB",43,-1,22
"Colts","D","IND",2400,5.68,2.4,"28793597","JAX",45,5,20
"Rashaad Penny","RB","PHI",5000,5.58,1.1,"28792335","@NE",45,-4,24.5
"Mike Gesicki","TE","NE",3200,5.52,1.7,"28793293","PHI",45,4,20.5
"Cordarrelle Patterson","RB","ATL",5000,5.51,1.1,"28792343","CAR",39.5,-3.5,21.5
"Chase Edmonds","RB","TB",4200,5.51,1.3,"28792397","@MIN",45.5,6,19.75
"Texans","D","HOU",2100,5.43,2.6,"28793600","@BAL",43.5,10,16.75
"D'Onta Foreman","RB","CHI",5500,5.39,1,"28792311","GB",43,-1,22
"Tank Bigsby","RB","JAX",5000,5.37,1.1,"28792339","@IND",45,-5,25
"Austin Hooper","TE","LV",3000,5.29,1.8,"28793301","@DEN",44,4,20
"Nick Westbrook-Ikhine","WR","TEN",3200,5.28,1.6,"28792759","@NO",41,3,19
"Kylen Granson","TE","IND",2900,5.26,1.8,"28793309","JAX",45,5,20
"Trey Palmer","WR","TB",3000,5.22,1.7,"28793063","@MIN",45.5,6,19.75
"Michael Wilson","WR","ARI",3000,5.22,1.7,"28792975","@WAS",38,7,15.5
"Braxton Berrios","WR","MIA",3000,5.22,1.7,"28792873","@LAC",51,3,24
"Isaiah McKenzie","WR","IND",3200,4.96,1.5,"28792761","JAX",45,5,20
"Joshua Kelley","RB","LAC",4900,4.92,1,"28792345","MIA",51,-3,27
"Trey McBride","TE","ARI",3100,4.89,1.6,"28793299","@WAS",38,7,15.5
"Kyren Williams","RB","LAR",4100,4.86,1.2,"28792407","@SEA",46,5.5,20.25
"Terrace Marshall","WR","CAR",3400,4.86,1.4,"28792745","@ATL",39.5,3.5,18
"Taysom Hill","TE","NO",3700,4.77,1.3,"28793279","TEN",41,-3,22
"Josh Downs","WR","IND",3100,4.77,1.5,"28792771","JAX",45,5,20
"Ty Chandler","RB","MIN",4600,4.7,1,"28792369","TB",45.5,-6,25.75
