"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Cade Otton","TE","TB",2500,6.62,2.6,24485058,"ATL",-466,46.5,-10,28.2,10.3,4.1
"Jaylen Warren","RB","PIT",4700,3.42,0.7,24484336,"@BUF",583,45.5,14,15.8,10.3,2.2
"Ben Skowronek","WR","LAR",4000,6.29,1.6,24484644,"DAL",-235,42.5,-5.5,24,10.1,2.5
"Avery Williams","RB","ATL",4000,2.16,0.5,24484500,"@TB",360,46.5,10,18.2,10.1,2.5
"Chase Claypool","WR","PIT",4400,8.26,1.9,24484618,"@BUF",583,45.5,14,15.8,10,2.3
"Kalif Raymond","WR","DET",3700,6.33,1.7,24484660,"@NE",134,46.5,3,21.8,9.5,2.6
"Hunter Henry","TE","NE",2900,6.62,2.3,24485020,"DET",-157,46.5,-3,24.8,9.4,3.2
"Zach Gentry","TE","PIT",2500,1.69,0.7,24485236,"@BUF",583,45.5,14,15.8,9.3,3.7
"Nick Westbrook-Ikhine","WR","TEN",4200,6.08,1.4,24484632,"@WAS",-112,43,-0.5,21.8,9.2,2.2
"K.J. Osborn","WR","MIN",4200,7.58,1.8,24484630,"CHI",-350,44,-7.5,25.8,9.1,2.2
"James Cook","RB","BUF",4500,3.27,0.7,24484346,"PIT",-860,45.5,-14,29.8,9.1,2
"Donovan Peoples-Jones","WR","CLE",4100,9.1,2.2,24484638,"LAC",104,47,2,22.5,9,2.2
"Brandon Aiyuk","WR","SF",5400,11.84,2.2,24484574,"@CAR",-267,40,-6.5,23.2,8.8,1.6
"George Kittle","TE","SF",5200,10.64,2,24484980,"@CAR",-267,40,-6.5,23.2,8.7,1.7
"J.D. McKissic","RB","WAS",5200,9.45,1.8,24484300,"TEN",-106,43,0.5,21.2,8.7,1.7
"Cole Kmet","TE","CHI",3000,6.39,2.1,24485018,"@MIN",281,44,7.5,18.2,8.5,2.8
"Miles Sanders","RB","PHI",6500,13.51,2.1,24484252,"@ARI",-230,48.5,-5.5,27,8.4,1.3
"Michael Gallup","WR","DAL",5000,9.41,1.9,24484598,"@LAR",193,42.5,5.5,18.5,8.4,1.7
"Braxton Berrios","WR","NYJ",3400,2.97,0.9,24484684,"MIA",153,46,3.5,21.2,8.4,2.5
"KhaDarel Hodge","WR","ATL",3200,3.83,1.2,24484714,"@TB",360,46.5,10,18.2,8.3,2.6
"Irv Smith","TE","MIN",3200,8.06,2.5,24485010,"CHI",-350,44,-7.5,25.8,8.2,2.6
"Isaiah Hodgins","WR","BUF",3000,2.33,0.8,24484728,"PIT",-860,45.5,-14,29.8,8.1,2.7
"Jared Goff","QB","DET",6100,17.34,2.8,24484164,"@NE",134,46.5,3,21.8,7.9,1.3
"Noah Fant","TE","SEA",2800,5.56,2,24485028,"@NO",190,45.5,5.5,20,7.9,2.8
"Durham Smythe","TE","MIA",2500,3.4,1.4,24485116,"@NYJ",-182,46,-3.5,24.8,7.9,3.2
"Velus Jones","WR","CHI",3100,2.46,0.8,24484722,"@MIN",281,44,7.5,18.2,7.9,2.5
"Ezekiel Elliott","RB","DAL",5800,11.75,2,24484278,"@LAR",193,42.5,5.5,18.5,7.8,1.3
"Robert Woods","WR","TEN",5200,13.02,2.5,24484580,"@WAS",-112,43,-0.5,21.8,7.7,1.5
"Baker Mayfield","QB","CAR",5100,13.21,2.6,24484183,"SF",217,40,6.5,16.8,7.6,1.5
"Drake London","WR","ATL",5900,14.71,2.5,24484562,"@TB",360,46.5,10,18.2,7.5,1.3
"Scotty Miller","WR","TB",3600,3.01,0.8,24484666,"ATL",-466,46.5,-10,28.2,7.5,2.1
"James Conner","RB","ARI",6300,13.17,2.1,24484260,"PHI",184,48.5,5.5,21.5,7.3,1.2
"Darnell Mooney","WR","CHI",5000,10.55,2.1,24484600,"@MIN",281,44,7.5,18.2,7.2,1.4
"Rachaad White","RB","TB",5100,7.29,1.4,24484302,"ATL",-466,46.5,-10,28.2,7.2,1.4
"Jalen Reagor","WR","MIN",3000,1.67,0.6,24484752,"CHI",-350,44,-7.5,25.8,7.1,2.4
"Darrell Henderson","RB","LAR",5500,9.04,1.6,24484286,"DAL",-235,42.5,-5.5,24,7,1.3
"Alexander Mattison","RB","MIN",6400,6.66,1,24484258,"CHI",-350,44,-7.5,25.8,7,1.1
"Antonio Gibson","RB","WAS",5900,11.18,1.9,24484274,"TEN",-106,43,0.5,21.2,6.9,1.2
"John Bates","TE","WAS",2600,5.03,1.9,24485046,"TEN",-106,43,0.5,21.2,6.9,2.7
"Adam Thielen","WR","MIN",6300,13.06,2.1,24484548,"CHI",-350,44,-7.5,25.8,6.7,1.1
"Najee Harris","RB","PIT",6500,13.03,2,24484256,"@BUF",583,45.5,14,15.8,6.6,1
"Jauan Jennings","WR","SF",3300,5.47,1.7,24484694,"@CAR",-267,40,-6.5,23.2,6.5,2
"Tutu Atwell","WR","LAR",3000,1.89,0.6,24484776,"DAL",-235,42.5,-5.5,24,6.4,2.1
"A.J. Brown","WR","PHI",7500,18.13,2.4,24484528,"@ARI",-230,48.5,-5.5,27,6.2,0.8
"Brandin Cooks","WR","HOU",6100,15.25,2.5,24484552,"@JAX",261,43.5,7,18.2,6,1
"Russell Gage","WR","TB",4900,10.03,2,24484602,"ATL",-466,46.5,-10,28.2,6,1.2
"James Robinson","RB","JAX",6300,13.78,2.2,24484264,"HOU",-323,43.5,-7,25.2,5.9,0.9
