"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"PHI","@COL - Freeland ( L )","Jean Segura","Johan Camargo","Matt Vierling",10200,29.8,2.9
"PHI","@COL - Freeland ( L )","J.T. Realmuto","Kyle Schwarber","Matt Vierling",13600,29.8,2.2
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Juan Soto","Nelson Cruz",14900,29.8,2
"BOS","TOR - Kikuchi ( L )","J.D. Martinez","Trevor Story","Xander Bogaerts",16000,29.6,1.9
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","Johan Camargo",12700,29.6,2.3
"PHI","@COL - Freeland ( L )","Alec Bohm","Nick Castellanos","Rhys Hoskins",15200,29.6,1.9
"PHI","@COL - Freeland ( L )","Didi Gregorius","Matt Vierling","Nick Castellanos",13600,29.4,2.2
"WSH","ARI - Gilbert ( L )","Juan Soto","Maikel Franco","Nelson Cruz",14100,29.4,2.1
"PHI","@COL - Freeland ( L )","Didi Gregorius","Jean Segura","Kyle Schwarber",15000,29.4,2
"PHI","@COL - Freeland ( L )","Alec Bohm","J.T. Realmuto","Nick Castellanos",15000,29.4,2
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Nelson Cruz","Yadiel Hernandez",11600,29.3,2.5
"TB","@CHC - Steele ( L )","Brandon Lowe","Mike Zunino","Wander Franco",15500,29.3,1.9
"BOS","TOR - Kikuchi ( L )","Rafael Devers","Trevor Story","Xander Bogaerts",16200,29.2,1.8
"TB","@CHC - Steele ( L )","Manuel Margot","Randy Arozarena","Wander Franco",13100,29.2,2.2
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Josh Bell","Nelson Cruz",13500,29.2,2.2
"WSH","ARI - Gilbert ( L )","Josh Bell","Juan Soto","Yadiel Hernandez",13900,29.2,2.1
"TB","@CHC - Steele ( L )","Mike Zunino","Wander Franco","Yandy Diaz",14400,29.2,2
"TB","@CHC - Steele ( L )","Brandon Lowe","Wander Franco","Yandy Diaz",15300,29.1,1.9
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Trevor Story","Xander Bogaerts",14900,29.1,2
"PHI","@COL - Freeland ( L )","Didi Gregorius","Johan Camargo","Kyle Schwarber",13200,29.1,2.2
"BOS","TOR - Kikuchi ( L )","J.D. Martinez","Rafael Devers","Trevor Story",16800,29.1,1.7
"PHI","@COL - Freeland ( L )","Didi Gregorius","Matt Vierling","Rhys Hoskins",13200,29,2.2
"PHI","@COL - Freeland ( L )","Jean Segura","Kyle Schwarber","Matt Vierling",12900,29,2.3
"WSH","ARI - Gilbert ( L )","Juan Soto","Lane Thomas","Nelson Cruz",14300,29,2
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","Trevor Story","Xander Bogaerts",15500,29,1.9
"PHI","@COL - Freeland ( L )","Alec Bohm","J.T. Realmuto","Rhys Hoskins",14600,29,2
"BOS","TOR - Kikuchi ( L )","J.D. Martinez","Rafael Devers","Xander Bogaerts",16400,29,1.8
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","J.D. Martinez","Trevor Story",15500,28.9,1.9
"WSH","ARI - Gilbert ( L )","Maikel Franco","Nelson Cruz","Yadiel Hernandez",10800,28.9,2.7
"ARI","@WAS - Adon ( R )","Daulton Varsho","David Peralta","Ketel Marte",12500,28.9,2.3
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","J.D. Martinez","Trevor Story",16100,28.8,1.8
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","J.D. Martinez","Xander Bogaerts",15100,28.8,1.9
"PHI","@COL - Freeland ( L )","Didi Gregorius","J.T. Realmuto","Matt Vierling",13000,28.8,2.2
"WSH","ARI - Gilbert ( L )","Josh Bell","Maikel Franco","Nelson Cruz",12700,28.8,2.3
"PHI","@COL - Freeland ( L )","Alec Bohm","Bryce Harper","Kyle Schwarber",15400,28.8,1.9
"PHI","@COL - Freeland ( L )","Bryce Harper","Bryson Stott","Nick Castellanos",16400,28.8,1.8
"WSH","ARI - Gilbert ( L )","Juan Soto","Keibert Ruiz","Nelson Cruz",15200,28.8,1.9
"PHI","@COL - Freeland ( L )","Johan Camargo","Kyle Schwarber","Matt Vierling",11100,28.7,2.6
"BOS","TOR - Kikuchi ( L )","Enrique Hernandez","J.D. Martinez","Xander Bogaerts",15700,28.7,1.8
"ARI","@WAS - Adon ( R )","Daulton Varsho","Ketel Marte","Pavin Smith",11800,28.7,2.4
"TB","@CHC - Steele ( L )","Harold Ramirez","Randy Arozarena","Wander Franco",13900,28.6,2.1
"PHI","@COL - Freeland ( L )","Bryce Harper","Garrett Stubbs","Nick Castellanos",15000,28.6,1.9
"PHI","@COL - Freeland ( L )","Bryce Harper","Nick Castellanos","Simon Muzziotti",14700,28.6,1.9
"PHI","@COL - Freeland ( L )","Alec Bohm","Jean Segura","Nick Castellanos",14300,28.6,2
"ARI","@WAS - Adon ( R )","Daulton Varsho","Ketel Marte","Seth Beer",12200,28.6,2.3
"WSH","ARI - Gilbert ( L )","Lane Thomas","Nelson Cruz","Yadiel Hernandez",11000,28.6,2.6
"BOS","TOR - Kikuchi ( L )","Bobby Dalbec","Rafael Devers","Trevor Story",15700,28.5,1.8
"HOU","LAA - Sandoval ( L )","Jose Altuve","Kyle Tucker","Yordan Alvarez",16100,28.5,1.8
"TB","@CHC - Steele ( L )","Manuel Margot","Mike Zunino","Wander Franco",12900,28.5,2.2
