"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","Order","Roster"
"Oneil Cruz","SS","PIT",4500,8.58,1.9,"34774543","SS","","SS","@CIN - Greene (R)",9,3,3.55
"Ketel Marte","2B","ARI",5300,8.56,1.6,"34774512","2B","","2B","MIN - Ryan (R)",7.5,2,1.15
"Willi Castro","2B/OF","MIN",4400,8.52,1.9,"34774551","2B/OF","OF","2B","@ARI - Pfaadt (R)",7.5,9,2.63
"Ozzie Albies","2B","ATL",5400,8.5,1.6,"34774510","2B","","2B","@STL - Gibson (R)",8.5,2,5.18
"Francisco Lindor","SS","NYM",4900,8.48,1.7,"34774527","SS","","SS","NYY - Cole (R)",8.5,1,3.2
"Adolis Garcia","OF","TEX",4500,8.48,1.9,"34774546","OF","","OF","@MIL - Wilson (R)",9,4,2.29
"Nico Hoerner","2B","CHC",4000,8.48,2.1,"34774593","2B","","2B","@SF - Whisenhunt (L)",8,1,2.45
"Marcus Semien","2B","TEX",4800,8.46,1.8,"34774532","2B","","2B","@MIL - Wilson (R)",9,1,2.63
"Salvador Perez","1B/C","KC",5000,8.44,1.7,"34774519","1B/C","C","1B","MIA - Chirinos (R)",9.5,4,4.11
"Max Kepler","OF","MIN",4200,8.43,2,"34774576","OF","","OF","@ARI - Pfaadt (R)",7.5,4,3.66
"Maikel Garcia","3B","KC",4600,8.39,1.8,"34774541","3B","","3B","MIA - Chirinos (R)",9.5,1,1.33
"Spencer Steer","1B/OF","CIN",4700,8.36,1.8,"34774536","1B/OF","OF","1B","PIT - Keller (R)",9,4,2.52
"Christopher Morel","3B","CHC",4900,8.35,1.7,"34774526","3B","","3B","@SF - Whisenhunt (L)",8,4,1.35
"Brandon Nimmo","OF","NYM",4600,8.34,1.8,"34774540","OF","","OF","NYY - Cole (R)",8.5,2,2.14
"Brent Rooker","OF","OAK",4200,8.27,2,"34774572","OF","","OF","@LAA - Anderson (L)",8,3,0.14
"Carlos Correa","SS","MIN",5000,8.25,1.6,"34774524","SS","","SS","@ARI - Pfaadt (R)",7.5,2,6.61
"Wilyer Abreu","OF","BOS",4200,8.24,2,"34774578","OF","","OF","TOR - Gausman (R)",9.5,2,3.52
"Spencer Horwitz","1B/2B","TOR",3900,8.24,2.1,"34774611","1B/2B","2B","1B","@BOS - Bello (R)",9.5,2,0.94
"Brenton Doyle","OF","COL",4000,8.23,2.1,"34774595","OF","","OF","@HOU - Brown (R)",8,2,0.62
"Austin Riley","3B","ATL",5200,8.21,1.6,"34774513","3B","","3B","@STL - Gibson (R)",8.5,5,6.38
"Jarred Kelenic","OF","ATL",3600,8.17,2.3,"34774645","OF","","OF","@STL - Gibson (R)",8.5,1,6.8
"Starling Marte","OF","NYM",4300,8.15,1.9,"34774565","OF","","OF","NYY - Cole (R)",8.5,NA,0
"Heliot Ramos","OF","SF",4900,8.13,1.7,"34774525","OF","","OF","CHC - Hendricks (R)",8,2,0.15
"Logan O'Hoppe","C","LAA",4000,8.13,2,"34774606","C","","C","OAK - Spence (R)",8,5,0.67
"Michael Massey","2B","KC",3500,8.13,2.3,"34774884","2B","","2B","MIA - Chirinos (R)",9.5,5,7.48
"Alex Bregman","3B","HOU",4200,8.12,1.9,"34774573","3B","","3B","COL - Gomber (L)",8,2,8.26
"Christian Walker","1B","ARI",5000,8.11,1.6,"34774521","1B","","1B","MIN - Ryan (R)",7.5,4,0.93
"Justin Turner","3B","TOR",3600,8.11,2.3,"34774651","3B","","3B","@BOS - Bello (R)",9.5,5,4.36
"Connor Wong","C","BOS",3700,8.1,2.2,"34774633","C","","C","TOR - Gausman (R)",9.5,NA,0
"Ian Happ","OF","CHC",4100,8.04,2,"34774582","OF","","OF","@SF - Whisenhunt (L)",8,5,2.08
"Jeremy Pena","SS","HOU",4100,8.04,2,"34774587","SS","","SS","COL - Gomber (L)",8,4,6.81
"Jake Fraley","OF","CIN",4000,8.02,2,"34774602","OF","","OF","PIT - Keller (R)",9,5,7.78
"Trevor Larnach","OF","MIN",3800,8.02,2.1,"34774623","OF","","OF","@ARI - Pfaadt (R)",7.5,1,3.75
"Corbin Carroll","OF","ARI",4800,8.01,1.7,"34774531","OF","","OF","MIN - Ryan (R)",7.5,1,1.59
"David Hamilton","SS","BOS",4200,8.01,1.9,"34774580","SS","","SS","TOR - Gausman (R)",9.5,9,4.15
"Jurickson Profar","OF","SD",4200,8,1.9,"34774577","OF","","OF","WSH - Gore (L)",7.5,2,4.23
"Ryan McMahon","3B","COL",4500,7.98,1.8,"34774545","3B","","3B","@HOU - Brown (R)",8,4,1.64
"Jason Heyward","OF","LAD",3500,7.98,2.3,"34774655","OF","","OF","@CWS - Flexen (R)",9,6,5.66
"Ezequiel Tovar","SS","COL",4800,7.96,1.7,"34774533","SS","","SS","@HOU - Brown (R)",8,3,0.39
"TJ Friedl","OF","CIN",4400,7.95,1.8,"34774549","OF","","OF","PIT - Keller (R)",9,NA,0
"Andrew McCutchen","OF","PIT",4000,7.95,2,"34774603","OF","","OF","@CIN - Greene (R)",9,1,2.2
"Brice Turang","2B","MIL",4900,7.94,1.6,"34774528","2B","","2B","TEX - Heaney (L)",9,1,2.11
"Luis Rengifo","3B","LAA",4300,7.94,1.8,"34774563","3B","","3B","OAK - Spence (R)",8,2,4.74
"Luis Robert","OF","CWS",4800,7.93,1.7,"34774530","OF","","OF","LAD - Miller (R)",9,3,1.7
"Joc Pederson","OF","ARI",4600,7.92,1.7,"34774538","OF","","OF","MIN - Ryan (R)",7.5,3,1.94
"Josh Smith","3B/SS","TEX",4000,7.89,2,"34774604","3B/SS","SS","3B","@MIL - Wilson (R)",9,3,1.54
"Taylor Ward","OF","LAA",4000,7.88,2,"34774598","OF","","OF","OAK - Spence (R)",8,3,6.39
"Bryan De La Cruz","OF","MIA",3200,7.87,2.5,"34774700","OF","","OF","@KC - Lugo (R)",9.5,2,3.06
"Pete Alonso","1B","NYM",5200,7.83,1.5,"34774515","1B","","1B","NYY - Cole (R)",8.5,4,1.45
"Manny Machado","3B","SD",5000,7.83,1.6,"34774523","3B","","3B","WSH - Gore (L)",7.5,3,5.94
"J.D. Martinez","1B/OF","NYM",4400,7.83,1.8,"34774553","1B/OF","OF","1B","NYY - Cole (R)",8.5,3,1.08
"Jonathan India","2B","CIN",3500,7.81,2.2,"34774660","2B","","2B","PIT - Keller (R)",9,1,6.88
"Daulton Varsho","OF","TOR",4300,7.77,1.8,"34774561","OF","","OF","@BOS - Bello (R)",9.5,7,6.5
"J.J. Bleday","OF","OAK",3600,7.75,2.2,"34774638","OF","","OF","@LAA - Anderson (L)",8,6,0.95
"Willson Contreras","C","STL",4800,7.72,1.6,"34774858","C","","C","ATL - Lopez (R)",8.5,4,1.8
"Jorge Soler","OF","SF",4500,7.71,1.7,"34774542","OF","","OF","CHC - Hendricks (R)",8,6,3.57
"Jesus Sanchez","OF","MIA",3100,7.7,2.5,"34774718","OF","","OF","@KC - Lugo (R)",9.5,4,2.95
"Jeimer Candelario","1B/3B","CIN",4300,7.69,1.8,"34774558","1B/3B","3B","1B","PIT - Keller (R)",9,3,2.63
"Ha-Seong Kim","SS","SD",4300,7.68,1.8,"34774556","SS","","SS","WSH - Gore (L)",7.5,7,6.18
"Yainer Diaz","C","HOU",4100,7.64,1.9,"34774590","C","","C","COL - Gomber (L)",8,5,0.23
"Ryan Jeffers","C","MIN",4300,7.6,1.8,"34774562","C","","C","@ARI - Pfaadt (R)",7.5,5,3.21
"Enmanuel Valdez","2B","BOS",3600,7.57,2.1,"34774649","2B","","2B","TOR - Gausman (R)",9.5,5,3.04
"Isiah Kiner-Falefa","2B/SS","TOR",3300,7.56,2.3,"34774682","2B/SS","SS","2B","@BOS - Bello (R)",9.5,1,3.06
"Bo Bichette","SS","TOR",4400,7.55,1.7,"34774863","SS","","SS","@BOS - Bello (R)",9.5,4,4.21
"Jesse Winker","OF","WSH",4000,7.55,1.9,"34774594","OF","","OF",NA,NA,3,1.29
"Byron Buxton","OF","MIN",4100,7.54,1.8,"34774586","OF","","OF","@ARI - Pfaadt (R)",7.5,6,4.8
"Joey Ortiz","3B","MIL",4000,7.54,1.9,"34774599","3B","","3B","TEX - Heaney (L)",9,7,2.37
"Gleyber Torres","2B","NYY",3900,7.54,1.9,"34774607","2B","","2B","@NYM - Peterson (L)",8.5,5,6.03
"Miguel Andujar","OF","OAK",4000,7.5,1.9,"34774596","OF","","OF","@LAA - Anderson (L)",8,2,0.89
"Jake Meyers","OF","HOU",3300,7.49,2.3,"34774689","OF","","OF","COL - Gomber (L)",8,6,2.95
"Jake Cronenworth","2B","SD",4400,7.48,1.7,"34774547","2B","","2B","WSH - Gore (L)",7.5,4,3.22
"Matt Chapman","3B","SF",4800,7.46,1.6,"34774529","3B","","3B","CHC - Hendricks (R)",8,4,4.07
"Zach Neto","SS","LAA",3300,7.45,2.3,"34774690","SS","","SS","OAK - Spence (R)",8,7,3.64
"Dansby Swanson","SS","CHC",3900,7.42,1.9,"34774609","SS","","SS","@SF - Whisenhunt (L)",8,6,4.16
"Alec Burleson","OF","STL",3900,7.42,1.9,"34774610","OF","","OF","ATL - Lopez (R)",8.5,2,1.16
"Luis Arraez","1B","SD",4300,7.41,1.7,"34774555","1B","","1B","WSH - Gore (L)",7.5,1,2.91
"Wyatt Langford","OF","TEX",3600,7.4,2.1,"34774650","OF","","OF","@MIL - Wilson (R)",9,6,1.06
"Daz Cameron","OF","OAK",2600,7.4,2.8,"34774775","OF","","OF","@LAA - Anderson (L)",8,5,1.6
"Davis Schneider","2B/OF","TOR",4100,7.38,1.8,"34774583","2B/OF","OF","2B","@BOS - Bello (R)",9.5,9,0.79
"Carlos Santana","1B","MIN",4000,7.38,1.8,"34774601","1B","","1B","@ARI - Pfaadt (R)",7.5,7,2.42
"Tommy Pham","OF","CWS",4300,7.36,1.7,"34774560","OF","","OF","LAD - Miller (R)",9,1,1.35
"Josh Bell","1B","MIA",3600,7.33,2,"34774653","1B","","1B","@KC - Lugo (R)",9.5,3,2.06
"Ceddanne Rafaela","OF/SS","BOS",3500,7.32,2.1,"34774664","OF/SS","SS","OF","TOR - Gausman (R)",9.5,NA,0.87
"Paul Goldschmidt","1B","STL",4200,7.3,1.7,"34774571","1B","","1B","ATL - Lopez (R)",8.5,3,1.74
"MJ Melendez","OF","KC",3300,7.28,2.2,"34774684","OF","","OF","MIA - Chirinos (R)",9.5,6,9.97
"Patrick Bailey","C","SF",4200,7.25,1.7,"34774567","C","","C","CHC - Hendricks (R)",8,3,1.67
"Thairo Estrada","2B","SF",3700,7.25,2,"34774631","2B","","2B","CHC - Hendricks (R)",8,8,4.25
"Lourdes Gurriel","OF","ARI",4000,7.22,1.8,"34774591","OF","","OF","MIN - Ryan (R)",7.5,5,1.13
"Danny Jansen","C","TOR",4400,7.21,1.6,"34774548","C","","C","@BOS - Bello (R)",9.5,8,4.3
"Patrick Wisdom","1B/3B","CHC",3800,7.19,1.9,"34774624","1B/3B","3B","1B","@SF - Whisenhunt (L)",8,7,1.08
"George Springer","OF","TOR",3600,7.16,2,"34774644","OF","","OF","@BOS - Bello (R)",9.5,6,3.34
"Nolan Gorman","2B","STL",4200,7.15,1.7,"34774579","2B","","2B","ATL - Lopez (R)",8.5,6,1.17
"Masyn Winn","SS","STL",4000,7.14,1.8,"34774597","SS","","SS","ATL - Lopez (R)",8.5,1,0.75
"Luis Garcia Jr.","2B","WSH",4100,7.13,1.7,"34774585","2B","","2B",NA,NA,NA,NA
"Nate Lowe","1B","TEX",3500,7.12,2,"34774662","1B","","1B","@MIL - Wilson (R)",9,5,1.89
"Mauricio Dubon","1B/OF","HOU",3400,7.06,2.1,"34774671","1B/OF","OF","1B","COL - Gomber (L)",8,8,2.85
"Shea Langeliers","C","OAK",3800,7.05,1.9,"34774620","C","","C","@LAA - Anderson (L)",8,4,0.99
"Nolan Jones","OF","COL",4300,6.96,1.6,"34774564","OF","","OF","@HOU - Brown (R)",8,5,1.3
"Jake McCarthy","OF","ARI",3900,6.95,1.8,"34774608","OF","","OF","MIN - Ryan (R)",7.5,6,1.4
"Jackson Merrill","OF","SD",4100,6.94,1.7,"34774589","OF","","OF","WSH - Gore (L)",7.5,6,1.23
"Edward Olivares","OF","PIT",3400,6.9,2,"34774675","OF","","OF","@CIN - Greene (R)",9,7,2.15
"Ramon Laureano","OF","ATL",2700,6.9,2.6,"34774761","OF","","OF","@STL - Gibson (R)",8.5,7,5.06
"Michael Conforto","OF","SF",4100,6.86,1.7,"34774581","OF","","OF","CHC - Hendricks (R)",8,5,1.65
"Blake Perkins","OF","MIL",3300,6.86,2.1,"34774691","OF","","OF","TEX - Heaney (L)",9,9,2.73
"Nick Gonzales","2B","PIT",4300,6.84,1.6,"34774566","2B","","2B","@CIN - Greene (R)",9,5,0.46
"Jacob Young","OF","WSH",3600,6.84,1.9,"34774639","OF","","OF",NA,NA,9,0.36
"Miguel Rojas","2B/SS","LAD",3800,6.83,1.8,"34774618","2B/SS","SS","2B","@CWS - Flexen (R)",9,7,4.13
"Eloy Jimenez","OF","CWS",4000,6.82,1.7,"34774600","OF","","OF","LAD - Miller (R)",9,4,2.12
"Alex Verdugo","OF","NYY",4200,6.77,1.6,"34774575","OF","","OF","@NYM - Peterson (L)",8.5,4,4.73
"Nolan Schanuel","1B","LAA",3300,6.75,2,"34774677","1B","","1B","OAK - Spence (R)",8,1,1.24
"Elehuris Montero","1B","COL",3200,6.75,2.1,"34774707","1B","","1B","@HOU - Brown (R)",8,1,1.1
"Ke'Bryan Hayes","3B","PIT",3400,6.74,2,"34774667","3B","","3B","@CIN - Greene (R)",9,6,1.66
"Sean Murphy","C","ATL",3500,6.73,1.9,"34774666","C","","C","@STL - Gibson (R)",8.5,6,7.07
"Gavin Lux","2B","LAD",3400,6.72,2,"34774668","2B","","2B","@CWS - Flexen (R)",9,9,6.03
"Jackson Chourio","OF","MIL",3100,6.72,2.2,"34774717","OF","","OF","TEX - Heaney (L)",9,8,3.76
"Gary Sanchez","C","MIL",3600,6.7,1.9,"34774652","C","","C","TEX - Heaney (L)",9,NA,1.83
"Jonah Heim","C","TEX",3400,6.7,2,"34774674","C","","C","@MIL - Wilson (R)",9,7,2.46
"Zack Gelof","2B","OAK",3100,6.7,2.2,"34774714","2B","","2B","@LAA - Anderson (L)",8,9,0.43
"Hunter Renfroe","OF","KC",3400,6.69,2,"34774673","OF","","OF","MIA - Chirinos (R)",9.5,7,8.49
"Chas McCormick","OF","HOU",3100,6.69,2.2,"34774710","OF","","OF","COL - Gomber (L)",8,9,6.3
"Brendan Donovan","OF","STL",3800,6.68,1.8,"34774621","OF","","OF","ATL - Lopez (R)",8.5,7,1.87
"Freddy Fermin","C","KC",3300,6.68,2,"34774698","C","","C","MIA - Chirinos (R)",9.5,NA,0.01
"Leody Taveras","OF","TEX",2900,6.68,2.3,"34774743","OF","","OF","@MIL - Wilson (R)",9,9,1.97
"Joey Meneses","1B","WSH",3400,6.66,2,"34774669","1B","","1B",NA,NA,6,1.16
"Brendan Rodgers","2B","COL",2900,6.64,2.3,"34774746","2B","","2B","@HOU - Brown (R)",8,6,2
"Tyler Stephenson","C","CIN",3600,6.63,1.8,"34774636","C","","C","PIT - Keller (R)",9,6,7.23
"Michael Toglia","1B/OF","COL",3900,6.62,1.7,"34774613","1B/OF","OF","1B","@HOU - Brown (R)",8,9,0.5
"Nolan Arenado","3B","STL",3800,6.62,1.7,"34774629","3B","","3B","ATL - Lopez (R)",8.5,5,3.37
"Jose Miranda","1B/3B","MIN",3600,6.59,1.8,"34774642","1B/3B","3B","1B","@ARI - Pfaadt (R)",7.5,8,2.19
"Masataka Yoshida","OF","BOS",3300,6.59,2,"34774695","OF","","OF","TOR - Gausman (R)",9.5,6,3.33
"Jack Suwinski","OF","PIT",3300,6.59,2,"34774697","OF","","OF","@CIN - Greene (R)",9,8,2.54
"Donovan Solano","3B","SD",3100,6.54,2.1,"34774709","3B","","3B","WSH - Gore (L)",7.5,5,3.82
"Max Schuemann","SS","OAK",2500,6.53,2.6,"34774788","SS","","SS","@LAA - Anderson (L)",8,1,5.7
"Mark Vientos","3B","NYM",3900,6.52,1.7,"34774616","3B","","3B","NYY - Cole (R)",8.5,7,0.23
"Brett Wisely","SS","SF",3800,6.52,1.7,"34774617","SS","","SS","CHC - Hendricks (R)",8,1,2.02
"Travis d'Arnaud","C","ATL",3900,6.48,1.7,"34774615","C","","C","@STL - Gibson (R)",8.5,NA,2.02
"Francisco Alvarez","C","NYM",3500,6.45,1.8,"34774663","C","","C","NYY - Cole (R)",8.5,5,0.31
"Jake Burger","1B/3B","MIA",3300,6.45,2,"34774693","1B/3B","3B","1B","@KC - Lugo (R)",9.5,5,1.36
"Will Benson","OF","CIN",3300,6.45,2,"34774696","OF","","OF","PIT - Keller (R)",9,7,3.19
"Willie Calhoun","OF","LAA",2800,6.45,2.3,"34774750","OF","","OF","OAK - Spence (R)",8,4,4.94
"Jacob Stallings","C","COL",3800,6.43,1.7,"34774622","C","","C","@HOU - Brown (R)",8,7,0.85
"Eddie Rosario","OF","WSH",3700,6.41,1.7,"34774632","OF","","OF",NA,NA,4,0.62
"Nick Gordon","OF","MIA",3000,6.41,2.1,"34774732","OF","","OF","@KC - Lugo (R)",9.5,6,3.22
"Tyler Nevin","3B/OF","OAK",2900,6.4,2.2,"34774737","3B/OF","OF","3B","@LAA - Anderson (L)",8,7,1.07
"Mickey Moniak","OF","LAA",2700,6.39,2.4,"34774763","OF","","OF","OAK - Spence (R)",8,8,2.14
"Hunter Goodman","C/OF","COL",3600,6.29,1.7,"34774640","C/OF","OF","C","@HOU - Brown (R)",8,NA,0.08
"Andrew Vaughn","1B","CWS",3700,6.25,1.7,"34774634","1B","","1B","LAD - Miller (R)",9,5,1.08
"Stuart Fairchild","OF","CIN",3100,6.23,2,"34774719","OF","","OF","PIT - Keller (R)",9,9,5.5
"Joey Loperfido","OF","HOU",2900,6.22,2.1,"34774736","OF","","OF","COL - Gomber (L)",8,NA,0.51
"Jose Trevino","C","NYY",3200,6.21,1.9,"34774703","C","","C","@NYM - Peterson (L)",8.5,8,5.53
"Kyle Isbel","OF","KC",2500,6.21,2.5,"34774794","OF","","OF","MIA - Chirinos (R)",9.5,9,6.24
"Cavan Biggio","3B/OF","LAD",3300,6.13,1.9,"34774678","3B/OF","OF","3B","@CWS - Flexen (R)",9,8,5.94
"Jo Adell","OF","LAA",3200,6.12,1.9,"34774702","OF","","OF","OAK - Spence (R)",8,9,2.21
"Brandon Drury","1B/2B","LAA",3100,6.11,2,"34774715","1B/2B","2B","1B","OAK - Spence (R)",8,6,4.54
"Eugenio Suarez","3B","ARI",3300,6.08,1.8,"34774676","3B","","3B","MIN - Ryan (R)",7.5,7,0.97
"Rowdy Tellez","1B","PIT",2800,6.08,2.2,"34774756","1B","","1B","@CIN - Greene (R)",9,4,2.28
"J.D. Davis","1B/3B","OAK",3100,6.06,2,"34774904","1B/3B","3B","1B","@LAA - Anderson (L)",8,7,3.55
"Dominic Smith","1B","BOS",3000,6.05,2,"34774731","1B","","1B","TOR - Gausman (R)",9.5,7,2.65
"David Bote","2B/3B","CHC",2200,6.05,2.7,"34774828","2B/3B","3B","2B","@SF - Whisenhunt (L)",8,8,1.53
"DJ LeMahieu","1B/3B","NYY",3300,6.02,1.8,"34774685","1B/3B","3B","1B","@NYM - Peterson (L)",8.5,6,3.86
"Drew Millas","C","WSH",2700,6,2.2,"34774767","C","","C",NA,NA,NA,0.04
"Michael Busch","1B/2B","CHC",4200,5.97,1.4,"34774569","1B/2B","2B","1B","@SF - Whisenhunt (L)",8,NA,0.04
"Jon Singleton","1B","HOU",3100,5.97,1.9,"34774722","1B","","1B","COL - Gomber (L)",8,7,1.08
"Otto Lopez","2B","MIA",2700,5.96,2.2,"34774759","2B","","2B","@KC - Lugo (R)",9.5,8,0.71
"Sal Frelick","OF","MIL",3600,5.95,1.7,"34774646","OF","","OF","TEX - Heaney (L)",9,6,2.74
"Wilmer Flores","1B","SF",3500,5.95,1.7,"34774654","1B","","1B","CHC - Hendricks (R)",8,7,3.19
"Andrew Benintendi","OF","CWS",2800,5.95,2.1,"34774754","OF","","OF","LAD - Miller (R)",9,2,3.1
"Austin Martin","OF","MIN",2800,5.92,2.1,"34774753","OF","","OF","@ARI - Pfaadt (R)",7.5,NA,0.35
"Paul DeJong","SS","CWS",3200,5.91,1.8,"34774701","SS","","SS","LAD - Miller (R)",9,6,1.15
"Nick Senzel","3B","WSH",3500,5.9,1.7,"34774657","3B","","3B",NA,NA,8,0.64
"Santiago Espinal","3B","CIN",2600,5.9,2.3,"34774782","3B","","3B","PIT - Keller (R)",9,8,6.8
"Travis Jankowski","OF","TEX",2200,5.88,2.7,"34774827","OF","","OF","@MIL - Wilson (R)",9,8,2.19
"Trent Grisham","OF","NYY",2400,5.87,2.4,"34774803","OF","","OF","@NYM - Peterson (L)",8.5,9,5.78
"DJ Stewart","OF","NYM",2900,5.85,2,"34774739","OF","","OF","NYY - Cole (R)",8.5,6,0
"Kyle Higashioka","C","SD",2800,5.82,2.1,"34774757","C","","C","WSH - Gore (L)",7.5,8,4.47
"Forrest Wall","OF","ATL",2200,5.79,2.6,"34774819","OF","","OF","@STL - Gibson (R)",8.5,8,2.94
"Keibert Ruiz","C","WSH",3300,5.76,1.7,"34774687","C","","C",NA,NA,7,1.32
"Zack Short","3B","ATL",2300,5.75,2.5,"34774812","3B","","3B","@STL - Gibson (R)",8.5,9,0.11
"Matt Carpenter","1B/3B","STL",3100,5.74,1.9,"34774712","1B/3B","3B","1B","ATL - Lopez (R)",8.5,8,3.13
