"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"WR","Trey Palmer","TB","WAS",3400,5.19,1.5,43.5,-3.5,23.5,1.18
"TE","Kylen Granson","IND","HOU",2900,5.17,1.8,49,2.5,23.25,3.39
"RB","Miles Sanders","CAR","@NO",4500,4.83,1.1,40,4.5,17.75,11.07
"RB","Bucky Irving","TB","WAS",4800,4.77,1,43.5,-3.5,23.5,0
"TE","Greg Dulcich","DEN","@SEA",3000,4.68,1.6,42,5.5,18.25,3.87
"RB","Ray Davis","BUF","ARI",4500,4.67,1,48,-6,27,0
"RB","Alexander Mattison","LV","@LAC",4800,4.66,1,41,3.5,18.75,11.01
"WR","Van Jefferson","PIT","@ATL",3600,4.58,1.3,41,3,19,3.91
"WR","Jermaine Burton","CIN","NE",3700,4.56,1.2,40.5,-9,24.75,0
"TE","Gerald Everett","CHI","TEN",3400,4.53,1.3,45.5,-4.5,25,4.23
"WR","Dyami Brown","WAS","@TB",3000,4.53,1.5,43.5,3.5,20,0.07
"RB","D'Onta Foreman","CLE","DAL",4900,4.46,0.9,42,-2.5,22.25,0
"TE","Johnny Mundt","MIN","@NYG",2900,4.41,1.5,41.5,-1,21.25,0.03
"WR","Jonathan Mingo","CAR","@NO",3400,4.4,1.3,40,4.5,17.75,3.73
"TE","Dawson Knox","BUF","ARI",3400,4.28,1.3,48,-6,27,5.46
"WR","Ray-Ray McCloud","ATL","PIT",3000,4.26,1.4,41,-3,22,0.03
"RB","Roschon Johnson","CHI","TEN",4400,4.16,0.9,45.5,-4.5,25,0.14
"TE","Ben Sinnott","WAS","@TB",2700,4.07,1.5,43.5,3.5,20,0
"WR","Treylon Burks","TEN","@CHI",3400,4.06,1.2,45.5,4.5,20.5,10.78
"WR","Cedrick Wilson","NO","CAR",3700,3.96,1.1,40,-4.5,22.25,0
"TE","Daniel Bellinger","NYG","MIN",3000,3.88,1.3,41.5,1,20.25,0.81
"RB","Tyrone Tracy","NYG","MIN",4400,3.87,0.9,41.5,1,20.25,0
"TE","Theo Johnson","NYG","MIN",2500,3.79,1.5,41.5,1,20.25,0
"WR","Jalen Nailor","MIN","@NYG",3000,3.75,1.2,41.5,-1,21.25,0
"WR","Braxton Berrios","MIA","JAX",3000,3.75,1.2,49.5,-3,26.25,1.04
"TE","Josh Oliver","MIN","@NYG",3300,3.72,1.1,41.5,-1,21.25,0.19
"RB","Dameon Pierce","HOU","@IND",4600,3.71,0.8,49,-2.5,25.75,6.41
"TE","Tommy Tremble","CAR","@NO",2500,3.64,1.5,40,4.5,17.75,0.4
"WR","A.T. Perry","NO","CAR",3600,3.63,1,40,-4.5,22.25,0
"TE","Will Dissly","LAC","LV",3100,3.5,1.1,41,-3.5,22.25,0.52
"TE","Tanner Hudson","CIN","NE",2900,3.44,1.2,40.5,-9,24.75,0
"WR","Calvin Austin","PIT","@ATL",3100,3.42,1.1,41,3,19,0.45
"TE","Michael Mayer","LV","@LAC",3100,3.4,1.1,41,3.5,18.75,3.55
"WR","Troy Franklin","DEN","@SEA",3000,3.4,1.1,42,5.5,18.25,0
"WR","Brenden Rice","LAC","LV",3000,3.35,1.1,41,-3.5,22.25,0
"TE","Ja'Tavion Sanders","CAR","@NO",2500,3.33,1.3,40,4.5,17.75,0
"RB","Tank Bigsby","JAX","@MIA",5000,3.2,0.6,49.5,3,23.25,0.39
"WR","Parker Washington","JAX","@MIA",3300,3.17,1,49.5,3,23.25,0
"RB","Audric Estime","DEN","@SEA",4000,3.12,0.8,42,5.5,18.25,0
"RB","Ty Johnson","BUF","ARI",4600,3.01,0.7,48,-6,27,0
"RB","Kimani Vidal","LAC","LV",4700,2.99,0.6,41,-3.5,22.25,0
"WR","Malik Washington","MIA","JAX",3000,2.97,1,49.5,-3,26.25,0
"TE","Adam Trautman","DEN","@SEA",3100,2.95,1,42,5.5,18.25,0.96
"TE","Durham Smythe","MIA","JAX",3200,2.88,0.9,49.5,-3,26.25,1.55
"WR","Mack Hollins","BUF","ARI",3000,2.87,1,48,-6,27,1.27
"TE","Foster Moreau","NO","CAR",2500,2.81,1.1,40,-4.5,22.25,1.71
"WR","Cedric Tillman","CLE","DAL",3200,2.76,0.9,42,-2.5,22.25,0.18
"WR","Zay Jones","ARI","@BUF",4600,2.66,0.6,48,6,21,0
"WR","Jake Bobo","SEA","DEN",3000,2.63,0.9,42,-5.5,23.75,2.88
"RB","Deuce Vaughn","DAL","@CLE",4200,2.57,0.6,42,2.5,19.75,0.03
"RB","Eric Gray","NYG","MIN",4500,2.54,0.6,41.5,1,20.25,0
"TE","Austin Hooper","NE","@CIN",3100,2.53,0.8,40.5,9,15.75,1.89
"WR","Brandon Powell","MIN","@NYG",3200,2.5,0.8,41.5,-1,21.25,0.02
"WR","Marquez Valdes-Scantling","BUF","ARI",3700,2.49,0.7,48,-6,27,4.67
"WR","KaVontae Turpin","DAL","@CLE",3100,2.47,0.8,42,2.5,19.75,0
"RB","Cordarrelle Patterson","PIT","@ATL",4500,2.46,0.5,41,3,19,0
"WR","Tyquan Thornton","NE","@CIN",3000,2.46,0.8,40.5,9,15.75,0
"WR","Luke McCaffrey","WAS","@TB",3300,2.45,0.7,43.5,3.5,20,0
"WR","Olamide Zaccheaus","WAS","@TB",3000,2.43,0.8,43.5,3.5,20,0.31
"TE","Josh Whyle","TEN","@CHI",2500,2.43,1,45.5,4.5,20.5,0.23
"RB","Jaylen Wright","MIA","JAX",4000,2.42,0.6,49.5,-3,26.25,0
"WR","KhaDarel Hodge","ATL","PIT",3100,2.38,0.8,41,-3,22,0.02
"WR","Javon Baker","NE","@CIN",3000,2.34,0.8,40.5,9,15.75,0
"TE","Brevin Jordan","HOU","@IND",2800,2.34,0.8,49,-2.5,25.75,0.61
"RB","Trey Sermon","IND","HOU",4500,2.28,0.5,49,2.5,23.25,0
"WR","Nick Westbrook-Ikhine","TEN","@CHI",3200,2.25,0.7,45.5,4.5,20.5,0.67
"TE","Cade Stover","HOU","@IND",2500,2.25,0.9,49,-2.5,25.75,0
"RB","Emari Demercado","ARI","@BUF",4000,2.24,0.6,48,6,21,0
"RB","Pierre Strong","CLE","DAL",4000,2.23,0.6,42,-2.5,22.25,0.02
"TE","Will Mallory","IND","HOU",2500,2.18,0.9,49,2.5,23.25,0
"TE","Darnell Washington","PIT","@ATL",2500,2.15,0.9,41,3,19,0.63
"WR","Derius Davis","LAC","LV",3000,2.12,0.7,41,-3.5,22.25,0.04
"WR","Trenton Irwin","CIN","NE",3900,2.09,0.5,40.5,-9,24.75,0.07
"TE","Lucas Krull","DEN","@SEA",2600,2.08,0.8,42,5.5,18.25,0
"TE","Mo Alie-Cox","IND","HOU",2500,2.08,0.8,49,2.5,23.25,0.89
"TE","Pharaoh Brown","SEA","DEN",2500,2.05,0.8,42,-5.5,23.75,0
"WR","Chris Moore","ARI","@BUF",3000,2.02,0.7,48,6,21,0.38
