"Pos","Player","Team","Opp","Salary","Proj","Value"
"WR","Shi Smith","CAR","SF",3000,5.25,1.8
"WR","Breshad Perriman","TB","ATL",4100,5.18,1.3
"RB","Eno Benjamin","ARI","PHI",4600,5,1.1
"TE","Austin Hooper","TEN","@WAS",2800,5,1.8
"TE","Jonnu Smith","NE","DET",2700,4.98,1.8
"RB","Sony Michel","LAC","@CLE",4800,4.81,1
"D","Steelers","PIT","@BUF",2400,4.81,2
"TE","Parker Hesse","ATL","@TB",2500,4.77,1.9
"RB","Zack Moss","BUF","PIT",4700,4.74,1
"TE","Harrison Bryant","CLE","LAC",2900,4.64,1.6
"WR","Dyami Brown","WAS","TEN",3000,4.56,1.5
"RB","Craig Reynolds","DET","@NE",4800,4.48,0.9
"TE","Quintin Morris","BUF","PIT",2600,4.4,1.7
"WR","Dante Pettis","CHI","@MIN",3400,4.25,1.2
"D","Falcons","ATL","@TB",2200,4.14,1.9
"WR","Quez Watkins","PHI","@ARI",3600,4.09,1.1
"WR","David Bell","CLE","LAC",3300,4.03,1.2
"TE","Anthony Firkser","ATL","@TB",2500,3.95,1.6
"WR","KhaDarel Hodge","ATL","@TB",3200,3.84,1.2
"WR","Trent Sherfield","MIA","@NYJ",3300,3.66,1.1
"TE","Ian Thomas","CAR","SF",2600,3.66,1.4
"WR","Tre'Quan Smith","NO","SEA",3500,3.62,1
"TE","Geoff Swaim","TEN","@WAS",2900,3.58,1.2
"QB","Taysom Hill","NO","SEA",4900,3.56,0.7
"RB","Justin Jackson","DET","@NE",4600,3.47,0.8
"RB","Jaylen Warren","PIT","@BUF",4700,3.42,0.7
"RB","Joshua Kelley","LAC","@CLE",4200,3.42,0.8
"TE","Jordan Akins","HOU","@JAX",2500,3.41,1.4
"WR","Jamal Agnew","JAX","HOU",3600,3.39,0.9
"RB","Darrel Williams","ARI","PHI",4400,3.37,0.8
"TE","Durham Smythe","MIA","@NYJ",2500,3.36,1.3
"WR","Marquise Goodwin","SEA","@NO",3300,3.34,1
"RB","James Cook","BUF","PIT",4500,3.25,0.7
"RB","Reggie Gilliam","BUF","PIT",4000,3.25,0.8
"WR","Tom Kennedy","DET","@NE",3400,3.2,0.9
"TE","John Bates","WAS","TEN",2600,3.2,1.2
"TE","C.J. Uzomah","NYJ","MIA",2600,3.06,1.2
"TE","Adam Trautman","NO","SEA",2700,3.02,1.1
"TE","Tommy Tremble","CAR","SF",2500,3.01,1.2
