"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Willson Contreras","C","CHC",5200,2.25,0.4,"C","","C","@NYM - deGrom - R"
"Kolten Wong","2B","MIL",3900,2.24,0.6,"2B","","2B","@STL - Montgomery - L"
"Stephen Vogt","1B","OAK",2800,2.24,0.8,"1B","","1B","@TEX - Ragans - L"
"Gabriel Moreno","C","TOR",2200,2.24,1,"C","","C","TB - Springs - L"
"Christian Arroyo","1B/2B","BOS",3000,2.23,0.7,"1B/2B","2B","1B","NYY - Cole - R"
"Josh Smith","3B/OF","TEX",2000,2.23,1.1,"3B/OF","OF","3B","OAK - Waldichuk - L"
"Alec Burleson","OF","STL",2000,2.23,1.1,"OF","","OF","MIL - Bush - R"
"Tim Locastro","OF","NYY",2000,2.21,1.1,"OF","","OF","@BOS - Pivetta - R"
"Ryan O'Hearn","OF","KC",2000,2.2,1.1,"OF","","OF","@MIN - Ryan - R"
"Garrett Hampson","OF/SS","COL",2000,2.19,1.1,"OF/SS","SS","OF","@CWS - Kopech - R"
"Israel Pineda","C","WSH",2000,2.19,1.1,"C","","C","BAL - Kremer - R"
"Abraham Toro","2B","SEA",2000,2.19,1.1,"2B","","2B","SD - Darvish - R"
"Tres Barrera","C","WSH",2000,2.18,1.1,"C","","C","BAL - Kremer - R"
"Trevor Larnach","OF","MIN",2500,2.15,0.9,"OF","","OF","KC - Bubic - L"
"Taylor Trammell","OF","SEA",2000,2.15,1.1,"OF","","OF","SD - Darvish - R"
"Brian Serven","C","COL",2200,2.13,1,"C","","C","@CWS - Kopech - R"
"Sean Bouchard","OF","COL",2000,2.13,1.1,"OF","","OF","@CWS - Kopech - R"
"Hanser Alberto","2B/3B","LAD",2000,2.13,1.1,"2B/3B","3B","2B","@ARI - Kelly - R"
"Garrett Mitchell","OF","MIL",2500,2.12,0.8,"OF","","OF","@STL - Montgomery - L"
"Miguel Vargas","OF","LAD",2300,2.12,0.9,"OF","","OF","@ARI - Kelly - R"
"Luis Campusano","C","SD",3500,2.1,0.6,"C","","C","@SEA - Gilbert - R"
"Austin Barnes","C","LAD",2900,2.1,0.7,"C","","C","@ARI - Kelly - R"
"Abraham Almonte","OF","BOS",2800,2.1,0.8,"OF","","OF","NYY - Cole - R"
"Victor Robles","OF","WSH",2000,2.08,1,"OF","","OF","BAL - Kremer - R"
"Chadwick Tromp","C","ATL",2000,2.08,1,"C","","C","@SF - Junis - R"
"Cooper Hummel","C","ARI",2100,2.07,1,"C","","C","LAD - Kershaw - L"
"Eguy Rosario","3B","SD",2000,2.07,1,"3B","","3B","@SEA - Gilbert - R"
"Omar Narvaez","C","MIL",3200,2.06,0.6,"C","","C","@STL - Montgomery - L"
"Reese McGuire","C","BOS",2300,2.06,0.9,"C","","C","NYY - Cole - R"
"Orlando Arcia","2B","ATL",2300,2.06,0.9,"2B","","2B","@SF - Junis - R"
"Jose Azocar","OF","SD",2000,2.06,1,"OF","","OF","@SEA - Gilbert - R"
"Luis Liberato","OF","SD",2000,2.06,1,"OF","","OF","@SEA - Gilbert - R"
"Nate Eaton","OF","KC",2000,2.06,1,"OF","","OF","@MIN - Ryan - R"
"Jake Lamb","3B/OF","SEA",2000,2.05,1,"3B/OF","OF","3B","SD - Darvish - R"
"Sebastian Rivero","C","KC",2000,2.04,1,"C","","C","@MIN - Ryan - R"
"Jake Cave","OF","MIN",2000,2.03,1,"OF","","OF","KC - Bubic - L"
"Curt Casali","C","SEA",2000,2.02,1,"C","","C","SD - Darvish - R"
