"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Nico Hoerner","SS","CHC",3800,7.04,1.9,"SS","","SS","@NYM - deGrom - R"
"Oswaldo Cabrera","OF","NYY",2900,7,2.4,"OF","","OF","@BOS - Pivetta - R"
"Nick Allen","SS","OAK",2000,6.97,3.5,"SS","","SS","@TEX - Ragans - L"
"Danny Jansen","C","TOR",3800,6.96,1.8,"C","","C","TB - Springs - L"
"Rowdy Tellez","1B","MIL",4800,6.95,1.4,"1B","","1B","@STL - Montgomery - L"
"Patrick Wisdom","1B/3B","CHC",5100,6.88,1.3,"1B/3B","3B","1B","@NYM - deGrom - R"
"Josh Rojas","2B/3B","ARI",4600,6.85,1.5,"2B/3B","3B","2B","LAD - Kershaw - L"
"Alan Trejo","2B/SS","COL",3700,6.83,1.8,"2B/SS","SS","2B","@CWS - Kopech - R"
"Elias Diaz","C","COL",4000,6.81,1.7,"C","","C","@CWS - Kopech - R"
"Luis Urias","2B/3B","MIL",4200,6.79,1.6,"2B/3B","3B","2B","@STL - Montgomery - L"
"Michael Massey","2B","KC",2400,6.75,2.8,"2B","","2B","@MIN - Ryan - R"
"Thairo Estrada","2B/OF","SF",4300,6.73,1.6,"2B/OF","OF","2B","ATL - Wright - R"
"Jordan Luplow","OF","ARI",2000,6.72,3.4,"OF","","OF","LAD - Kershaw - L"
"Michael Toglia","1B/OF","COL",2600,6.71,2.6,"1B/OF","OF","1B","@CWS - Kopech - R"
"Yonathan Daza","OF","COL",2200,6.7,3,"OF","","OF","@CWS - Kopech - R"
"Manuel Margot","OF","TB",4700,6.66,1.4,"OF","","OF","@TOR - Merryweather - R"
"Lars Nootbaar","OF","STL",3700,6.62,1.8,"OF","","OF","MIL - Bush - R"
"Marwin Gonzalez","1B/OF","NYY",2000,6.62,3.3,"1B/OF","OF","1B","@BOS - Pivetta - R"
"Robbie Grossman","OF","ATL",2000,6.61,3.3,"OF","","OF","@SF - Junis - R"
"Brandon Crawford","SS","SF",3000,6.54,2.2,"SS","","SS","ATL - Wright - R"
"Ildemaro Vargas","3B/SS","WSH",2300,6.53,2.8,"3B/SS","SS","3B","BAL - Kremer - R"
"Michael A. Taylor","OF","KC",2700,6.52,2.4,"OF","","OF","@MIN - Ryan - R"
"Santiago Espinal","2B","TOR",2400,6.52,2.7,"2B","","2B","TB - Springs - L"
"Ha-Seong Kim","SS","SD",4100,6.49,1.6,"SS","","SS","@SEA - Gilbert - R"
"Jesse Winker","OF","SEA",2900,6.48,2.2,"OF","","OF","SD - Darvish - R"
"Trent Grisham","OF","SD",2600,6.44,2.5,"OF","","OF","@SEA - Gilbert - R"
"Cesar Hernandez","3B/OF","WSH",2400,6.43,2.7,"3B/OF","OF","3B","BAL - Kremer - R"
"Rafael Ortega","OF","CHC",2000,6.42,3.2,"OF","","OF","@NYM - deGrom - R"
"Austin Nola","C","SD",3300,6.41,1.9,"C","","C","@SEA - Gilbert - R"
"CJ Abrams","SS","WSH",2000,6.41,3.2,"SS","","SS","BAL - Kremer - R"
"Evan Longoria","3B","SF",3300,6.37,1.9,"3B","","3B","ATL - Wright - R"
"Franmil Reyes","OF","CHC",2900,6.34,2.2,"OF","","OF","@NYM - deGrom - R"
"Jose Siri","OF","TB",2500,6.15,2.5,"OF","","OF","@TOR - Merryweather - R"
"Cal Raleigh","C","SEA",3800,6.12,1.6,"C","","C","SD - Darvish - R"
"Jose Trevino","C","NYY",3300,6.12,1.9,"C","","C","@BOS - Pivetta - R"
"David Villar","1B/3B","SF",2000,6.12,3.1,"1B/3B","3B","1B","ATL - Wright - R"
