"Pos","Player","Team","Opp","Salary","Proj","Value"
"TE","Kyle Rudolph","TB","ATL",4500,1.91,0.4
"TE","Brock Wright","DET","@NE",4200,1.89,0.4
"RB","Trestan Ebner","CHI","@MIN",5000,1.77,0.4
"TE","Tommy Sweeney","BUF","PIT",4100,1.77,0.4
"TE","Ko Kieft","TB","ATL",4000,1.75,0.4
"RB","D'Onta Foreman","CAR","SF",5200,1.68,0.3
"WR","Tyler Johnson","HOU","@JAX",4500,1.67,0.4
"RB","DeeJay Dallas","SEA","@NO",4700,1.66,0.4
"WR","Brandon Powell","LAR","DAL",4700,1.57,0.3
"TE","Trey McBride","ARI","PHI",4300,1.57,0.4
"RB","Avery Williams","ATL","@TB",4800,1.52,0.3
"WR","Jalen Reagor","MIN","CHI",4700,1.51,0.3
"WR","Deonte Harty","NO","SEA",4600,1.46,0.3
"WR","River Cracraft","MIA","@NYJ",4900,1.45,0.3
"TE","Zach Gentry","PIT","@BUF",4300,1.45,0.3
"RB","C.J. Ham","MIN","CHI",4500,1.3,0.3
"RB","Alec Ingold","MIA","@NYJ",4600,1.12,0.2
