"Pos","Player","Team","Opp","Salary","Proj","Value"
"PG","Kyle Lowry","MIA","@MEM",4800,22.18,4.6
"SG","Kentavious Caldwell-Pope","DEN","GSW",4400,21.93,5
"SF/PF","Royce O'Neale","BKN","LAC",4900,21.75,4.4
"PF","Grant Williams","DAL","TOR",5700,21.63,3.8
"PG","Davion Mitchell","SAC","POR",5200,21.41,4.1
"C","Dereck Lively","DAL","TOR",5900,21.3,3.6
"C","Nick Richards","CHA","WAS",4600,20.92,4.5
"PF/C","Christian Wood","LAL","@HOU",5600,20.62,3.7
"SF","Ziaire Williams","MEM","MIA",4400,20.53,4.7
"SG/SF","Luke Kennard","MEM","MIA",4100,19.99,4.9
"SF","Jonathan Kuminga","GS","@DEN",4400,19.85,4.5
"PF","Obi Toppin","IND","UTA",4100,19.76,4.8
"PG","Dyson Daniels","NO","@MIN",4800,19.66,4.1
"PG","Theo Maledon","CHA","WAS",4000,19.54,4.9
"SF/SG","Malaki Branham","SA","@NYK",4600,19.53,4.2
"SG","Gary Trent","TOR","@DAL",4300,19.08,4.4
"SF","Matt Ryan","NO","@MIN",3900,18.91,4.8
"C/PF","Drew Eubanks","PHX","@CHI",5000,18.85,3.8
"C","Jalen Smith","IND","UTA",4500,18.78,4.2
"SF/SG","Norman Powell","LAC","@BKN",5000,18.59,3.7
"PF/C","Santi Aldama","MEM","MIA",4600,18.59,4
"SF/PF","Taurean Prince","LAL","@HOU",4400,18.54,4.2
"PF/C","Isaiah Hartenstein","NY","SAS",4400,17.96,4.1
"PF","Keita Bates-Diop","PHX","@CHI",4000,17.94,4.5
"SG/SF","Lonnie Walker","BKN","LAC",4800,17.78,3.7
"PF/C","Dario Saric","GS","@DEN",4400,17.73,4
"C","Andre Drummond","CHI","PHX",4500,17.64,3.9
"PG/SG","Alex Caruso","CHI","PHX",4300,17.62,4.1
"SF/PF","Jae'Sean Tate","HOU","LAL",4000,17.6,4.4
"SF/PF","Aaron Nesmith","IND","UTA",4600,17.54,3.8
"SG","Gary Payton","GS","@DEN",4000,17.53,4.4
"PF/C","Marvin Bagley","DET","@MIL",5100,17.49,3.4
"PF/C","Precious Achiuwa","TOR","@DAL",4200,17.44,4.2
"SG","Collin Sexton","UTA","@IND",4200,17.43,4.1
"SG/PG","Andrew Nembhard","IND","UTA",4700,17.28,3.7
"SG/SF","Grayson Allen","PHX","@CHI",4600,17.25,3.8
"SG/SF","Duncan Robinson","MIA","@MEM",4000,17.24,4.3
"SF/SG","Pat Connaughton","MIL","DET",3900,17.2,4.4
"SF/SG","Malik Beasley","MIL","DET",4400,16.89,3.8
"SF/PF","Toumani Camara","POR","@SAC",4000,16.88,4.2
"SG","Keyonte George","UTA","@IND",3900,16.83,4.3
"SG","Christian Braun","DEN","GSW",4600,16.7,3.6
"SG/SF","Quentin Grimes","NY","SAS",3900,16.52,4.2
