"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"NYY","TOR - Gausman ( R )","Aaron Hicks","DJ LeMahieu","Giancarlo Stanton",9400,28.1,3
"MIA","PHI - Gibson ( R )","Avisail Garcia","Garrett Cooper","Jacob Stallings",7400,28.1,3.8
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Lucius Fox","Nelson Cruz",7500,28.1,3.7
"PIT","WAS - Adon ( R )","Anthony Alford","Bryan Reynolds","Ke'Bryan Hayes",8200,28.1,3.4
"COL","CHC - Steele ( L )","C.J. Cron","Elias Diaz","Yonathan Daza",9700,28.1,2.9
"TEX","LAA - Ohtani ( R )","Andy Ibanez","Mitch Garver","Nate Lowe",7800,28.1,3.6
"WSH","@PIT - Brubaker ( R )","Maikel Franco","Nelson Cruz","Yadiel Hernandez",7900,28.1,3.6
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Seiya Suzuki","Yan Gomes",8700,28,3.2
"TOR","@NYY - Severino ( R )","Bo Bichette","Santiago Espinal","Zack Collins",8400,28,3.3
"CHC","@COL - Freeland ( L )","Alfonso Rivas","Nico Hoerner","Patrick Wisdom",8500,28,3.3
"CHC","@COL - Freeland ( L )","Jonathan Villar","Michael Hermosillo","Patrick Wisdom",8200,28,3.4
"LAA","@TEX - Dunning ( R )","Jared Walsh","Kurt Suzuki","Matt Duffy",7800,28,3.6
"COL","CHC - Steele ( L )","Alan Trejo","Brendan Rodgers","Ryan McMahon",9500,28,3
"NYY","TOR - Gausman ( R )","DJ LeMahieu","Giancarlo Stanton","Kyle Higashioka",9200,28,3
"ATL","@SD - Musgrove ( R )","Alex Dickerson","Austin Riley","Travis d'Arnaud",9100,28,3.1
"MIA","PHI - Gibson ( R )","Garrett Cooper","Joey Wendle","Miguel Rojas",6600,28,4.2
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Kurt Suzuki","Mike Trout",8700,28,3.2
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Dom Nunez",9000,28,3.1
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Dom Nunez",9900,28,2.8
"PIT","WAS - Adon ( R )","Bryan Reynolds","Ke'Bryan Hayes","Michael Chavis",9000,28,3.1
"PHI","@MIA - Alcantara ( R )","Didi Gregorius","Matt Vierling","Nick Castellanos",8200,28,3.4
"CIN","@LAD - Buehler ( R )","Jake Fraley","Joey Votto","Tommy Pham",8100,28,3.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Jason Heyward","Nick Madrigal",8200,28,3.4
"KC","DET - Mize ( R )","Bobby Witt Jr.","Michael A. Taylor","Nicky Lopez",7200,28,3.9
"COL","CHC - Steele ( L )","Connor Joe","Garrett Hampson","Randal Grichuk",9300,28,3
"ATL","@SD - Musgrove ( R )","Adam Duvall","Alex Dickerson","Marcell Ozuna",8100,28,3.5
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jose Rojas","Matt Duffy",6700,28,4.2
"CHC","@COL - Freeland ( L )","Nico Hoerner","Patrick Wisdom","Rafael Ortega",8900,28,3.1
"CHC","@COL - Freeland ( L )","Ian Happ","Jonathan Villar","Nick Madrigal",8900,28,3.1
"MIA","PHI - Gibson ( R )","Avisail Garcia","Jacob Stallings","Jesus Sanchez",8000,28,3.5
"COL","CHC - Steele ( L )","C.J. Cron","Dom Nunez","Elias Diaz",9700,28,2.9
"PHI","@MIA - Alcantara ( R )","Jean Segura","Matt Vierling","Nick Castellanos",9200,28,3
"LAA","@TEX - Dunning ( R )","Jack Mayfield","Jared Walsh","Matt Duffy",8200,28,3.4
