"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"CHC","@COL - Freeland ( L )","Frank Schwindel","Patrick Wisdom","Willson Contreras",9700,44.2,4.6
"CHC","@COL - Freeland ( L )","Frank Schwindel","Seiya Suzuki","Willson Contreras",10300,44,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Willson Contreras",9600,43.8,4.6
"CHC","@COL - Freeland ( L )","Frank Schwindel","Patrick Wisdom","Seiya Suzuki",9600,42.8,4.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Willson Contreras",10300,42.7,4.1
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Patrick Wisdom",8900,42.6,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Willson Contreras",9300,42.5,4.6
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Seiya Suzuki",9500,42.4,4.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Willson Contreras",9700,41.8,4.3
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Nelson Cruz",10400,41.7,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Patrick Wisdom",9600,41.5,4.3
"CHC","@COL - Freeland ( L )","Patrick Wisdom","Seiya Suzuki","Willson Contreras",10300,41.4,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Patrick Wisdom",8600,41.3,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Seiya Suzuki",10200,41.3,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Seiya Suzuki",9200,41.2,4.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Patrick Wisdom","Willson Contreras",9600,41.1,4.3
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Willson Contreras",9200,41,4.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Ian Happ",9500,41,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Seiya Suzuki","Willson Contreras",10200,40.9,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Nick Madrigal",8500,40.9,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Patrick Wisdom",9000,40.6,4.5
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Kris Bryant",11600,40.6,3.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Seiya Suzuki",9600,40.5,4.2
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Nelson Cruz",9700,40.5,4.2
"COL","CHC - Steele ( L )","C.J. Cron","Kris Bryant","Ryan McMahon",12100,40.4,3.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Nico Hoerner",8900,40.2,4.5
"WSH","@PIT - Brubaker ( R )","Juan Soto","Keibert Ruiz","Nelson Cruz",10100,40,4
"CHC","@COL - Freeland ( L )","Ian Happ","Patrick Wisdom","Willson Contreras",10300,40,3.9
"WSH","@PIT - Brubaker ( R )","Juan Soto","Maikel Franco","Nelson Cruz",9800,40,4.1
"CHC","@COL - Freeland ( L )","Nick Madrigal","Patrick Wisdom","Willson Contreras",9300,39.9,4.3
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Patrick Wisdom",8500,39.8,4.7
"CHC","@COL - Freeland ( L )","Ian Happ","Seiya Suzuki","Willson Contreras",10900,39.8,3.7
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Nick Madrigal",9200,39.8,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Patrick Wisdom","Seiya Suzuki",9500,39.7,4.2
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Kris Bryant",11100,39.7,3.6
"CHC","@COL - Freeland ( L )","Nick Madrigal","Seiya Suzuki","Willson Contreras",9900,39.7,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Seiya Suzuki",9100,39.7,4.4
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Juan Soto",9700,39.7,4.1
"COL","CHC - Steele ( L )","Connor Joe","Kris Bryant","Ryan McMahon",11500,39.7,3.4
"LAA","@TEX - Dunning ( R )","Jared Walsh","Jo Adell","Mike Trout",9700,39.6,4.1
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Willson Contreras",10200,39.5,3.9
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Ryan McMahon",11600,39.5,3.4
"CHC","@COL - Freeland ( L )","Clint Frazier","Nick Madrigal","Willson Contreras",9200,39.4,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Michael Hermosillo",8400,39.4,4.7
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Keibert Ruiz",10100,39.2,3.9
"COL","CHC - Steele ( L )","C.J. Cron","Kris Bryant","Randal Grichuk",11200,39.2,3.5
"CHC","@COL - Freeland ( L )","Nico Hoerner","Patrick Wisdom","Willson Contreras",9700,39.2,4
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Maikel Franco",9800,39.2,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Nico Hoerner",9600,39.1,4.1
"WSH","@PIT - Brubaker ( R )","Juan Soto","Lane Thomas","Nelson Cruz",9600,39,4.1
"CHC","@COL - Freeland ( L )","Nico Hoerner","Seiya Suzuki","Willson Contreras",10300,39,3.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Nico Hoerner",8600,39,4.5
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Kris Bryant",10500,39,3.7
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Kris Bryant",11400,39,3.4
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Juan Soto","Nelson Cruz",9400,39,4.1
"LAA","@TEX - Dunning ( R )","Jared Walsh","Matt Duffy","Mike Trout",9700,38.9,4
"COL","CHC - Steele ( L )","C.J. Cron","Elias Diaz","Kris Bryant",11200,38.9,3.5
"COL","CHC - Steele ( L )","Brendan Rodgers","Kris Bryant","Ryan McMahon",11000,38.8,3.5
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Connor Joe",10600,38.8,3.7
"CHC","@COL - Freeland ( L )","Clint Frazier","Nico Hoerner","Willson Contreras",9600,38.7,4
"CHC","@COL - Freeland ( L )","Ian Happ","Patrick Wisdom","Seiya Suzuki",10200,38.6,3.8
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jared Walsh","Mike Trout",10400,38.6,3.7
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Ryan McMahon",11100,38.6,3.5
"CHC","@COL - Freeland ( L )","Nick Madrigal","Patrick Wisdom","Seiya Suzuki",9200,38.5,4.2
"COL","CHC - Steele ( L )","Connor Joe","Kris Bryant","Randal Grichuk",10600,38.5,3.6
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jared Walsh","Mike Trout",9800,38.4,3.9
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Patrick Wisdom","Willson Contreras",9200,38.4,4.2
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Patrick Wisdom",9500,38.4,4
"CHC","@COL - Freeland ( L )","Ian Happ","Nick Madrigal","Willson Contreras",9900,38.3,3.9
"COL","CHC - Steele ( L )","Kris Bryant","Randal Grichuk","Ryan McMahon",11100,38.3,3.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Michael Hermosillo",9100,38.3,4.2
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Randal Grichuk",10700,38.3,3.6
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Lane Thomas",9600,38.2,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Nick Madrigal","Patrick Wisdom",8500,38.2,4.5
"WSH","@PIT - Brubaker ( R )","Juan Soto","Nelson Cruz","Victor Robles",9400,38.2,4.1
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Seiya Suzuki","Willson Contreras",9800,38.2,3.9
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Kris Bryant",10800,38.2,3.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Seiya Suzuki",10100,38.2,3.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Nick Madrigal",8100,38.2,4.7
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Josh Bell","Juan Soto",9400,38.2,4.1
"COL","CHC - Steele ( L )","Connor Joe","Elias Diaz","Kris Bryant",10600,38.2,3.6
"COL","CHC - Steele ( L )","C.J. Cron","Randal Grichuk","Ryan McMahon",11200,38.1,3.4
"CHC","@COL - Freeland ( L )","Clint Frazier","Nick Madrigal","Seiya Suzuki",9100,38,4.2
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Keibert Ruiz",9400,38,4
"COL","CHC - Steele ( L )","Charlie Blackmon","Kris Bryant","Ryan McMahon",11300,38,3.4
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Connor Joe",10900,38,3.5
"COL","CHC - Steele ( L )","Elias Diaz","Kris Bryant","Ryan McMahon",11100,38,3.4
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Elias Diaz",10700,38,3.5
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Maikel Franco",9100,37.9,4.2
"CHC","@COL - Freeland ( L )","Clint Frazier","Michael Hermosillo","Willson Contreras",9100,37.9,4.2
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Ryan McMahon",10500,37.8,3.6
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Ryan McMahon",11400,37.8,3.3
"LAA","@TEX - Dunning ( R )","Jared Walsh","Max Stassi","Mike Trout",9700,37.8,3.9
"CHC","@COL - Freeland ( L )","Nico Hoerner","Patrick Wisdom","Seiya Suzuki",9600,37.8,3.9
"COL","CHC - Steele ( L )","C.J. Cron","Elias Diaz","Ryan McMahon",11200,37.8,3.4
"CHC","@COL - Freeland ( L )","Ian Happ","Nico Hoerner","Willson Contreras",10300,37.6,3.7
"COL","CHC - Steele ( L )","Brendan Rodgers","Kris Bryant","Randal Grichuk",10100,37.6,3.7
"LAA","@TEX - Dunning ( R )","Jared Walsh","Mike Trout","Tyler Wade",9500,37.6,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Nico Hoerner","Patrick Wisdom",8900,37.5,4.2
"WSH","@PIT - Brubaker ( R )","Juan Soto","Keibert Ruiz","Maikel Franco",9500,37.5,4
"CHC","@COL - Freeland ( L )","Nick Madrigal","Nico Hoerner","Willson Contreras",9300,37.5,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Nico Hoerner",8500,37.5,4.4
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Victor Robles",9400,37.4,4
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Randal Grichuk",10200,37.4,3.7
"COL","CHC - Steele ( L )","Connor Joe","Randal Grichuk","Ryan McMahon",10600,37.4,3.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Nico Hoerner","Seiya Suzuki",9500,37.4,3.9
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Nelson Cruz",8600,37.4,4.3
"COL","CHC - Steele ( L )","Brendan Rodgers","Charlie Blackmon","Kris Bryant",10300,37.3,3.6
"COL","CHC - Steele ( L )","Brendan Rodgers","Elias Diaz","Kris Bryant",10100,37.3,3.7
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Charlie Blackmon",10400,37.1,3.6
"CHC","@COL - Freeland ( L )","Ian Happ","Nick Madrigal","Patrick Wisdom",9200,37.1,4
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Ryan McMahon",10800,37.1,3.4
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Elias Diaz",10200,37.1,3.6
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Lane Thomas",8900,37,4.2
"COL","CHC - Steele ( L )","Connor Joe","Elias Diaz","Ryan McMahon",10600,37,3.5
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Patrick Wisdom","Seiya Suzuki",9100,37,4.1
"CHC","@COL - Freeland ( L )","Ian Happ","Nick Madrigal","Seiya Suzuki",9800,37,3.8
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Cesar Hernandez","Juan Soto",8700,37,4.2
"WSH","@PIT - Brubaker ( R )","Josh Bell","Keibert Ruiz","Nelson Cruz",9000,36.9,4.1
"COL","CHC - Steele ( L )","Charlie Blackmon","Kris Bryant","Randal Grichuk",10400,36.9,3.5
"LAA","@TEX - Dunning ( R )","Jo Adell","Matt Duffy","Mike Trout",8700,36.9,4.2
"CHC","@COL - Freeland ( L )","Ian Happ","Michael Hermosillo","Willson Contreras",9800,36.8,3.8
"WSH","@PIT - Brubaker ( R )","Josh Bell","Maikel Franco","Nelson Cruz",8700,36.8,4.2
"COL","CHC - Steele ( L )","C.J. Cron","Jose Iglesias","Kris Bryant",11000,36.8,3.3
"COL","CHC - Steele ( L )","Elias Diaz","Kris Bryant","Randal Grichuk",10200,36.8,3.6
"CHC","@COL - Freeland ( L )","Clint Frazier","Michael Hermosillo","Patrick Wisdom",8400,36.7,4.4
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nick Madrigal","Willson Contreras",8800,36.7,4.2
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Nick Madrigal",9100,36.7,4
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Randal Grichuk",9600,36.7,3.8
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Randal Grichuk",10500,36.7,3.5
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Robbie Grossman",7900,36.7,4.6
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Kyle Schwarber","Rhys Hoskins",10800,36.6,3.4
"WSH","@PIT - Brubaker ( R )","Juan Soto","Keibert Ruiz","Lane Thomas",9300,36.6,3.9
"COL","CHC - Steele ( L )","C.J. Cron","Elias Diaz","Randal Grichuk",10300,36.6,3.6
"LAD","CIN - Cessa ( R )","Freddie Freeman","Mookie Betts","Trea Turner",10800,36.6,3.4
"TOR","@NYY - Severino ( R )","George Springer","Teoscar Hernandez","Vladimir Guerrero Jr.",12300,36.6,3
"CHC","@COL - Freeland ( L )","Clint Frazier","Michael Hermosillo","Seiya Suzuki",9000,36.6,4.1
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jo Adell","Mike Trout",9400,36.6,3.9
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Juan Soto","Keibert Ruiz",9100,36.5,4
"WSH","@PIT - Brubaker ( R )","Juan Soto","Lane Thomas","Maikel Franco",9000,36.5,4.1
"COL","CHC - Steele ( L )","Charlie Blackmon","Elias Diaz","Kris Bryant",10400,36.5,3.5
"COL","CHC - Steele ( L )","Brendan Rodgers","Randal Grichuk","Ryan McMahon",10100,36.5,3.6
"CHC","@COL - Freeland ( L )","Ian Happ","Nico Hoerner","Patrick Wisdom",9600,36.4,3.8
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Juan Soto","Maikel Franco",8800,36.4,4.1
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Javier Baez",8700,36.4,4.2
"COL","CHC - Steele ( L )","Brendan Rodgers","Charlie Blackmon","Connor Joe",9800,36.4,3.7
"LAA","@TEX - Dunning ( R )","Jared Walsh","Jo Adell","Matt Duffy",7900,36.4,4.6
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jo Adell","Mike Trout",8800,36.4,4.1
"DET","@KC - Greinke ( R )","Austin Meadows","Javier Baez","Robbie Grossman",9000,36.4,4
"COL","CHC - Steele ( L )","Brendan Rodgers","Connor Joe","Elias Diaz",9600,36.3,3.8
"COL","CHC - Steele ( L )","C.J. Cron","Charlie Blackmon","Elias Diaz",10500,36.3,3.5
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Kyle Schwarber","Nick Castellanos",11000,36.3,3.3
"CHC","@COL - Freeland ( L )","Nick Madrigal","Nico Hoerner","Patrick Wisdom",8600,36.3,4.2
"CHC","@COL - Freeland ( L )","Ian Happ","Nico Hoerner","Seiya Suzuki",10200,36.3,3.6
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Victor Robles",8700,36.2,4.2
"COL","CHC - Steele ( L )","Brendan Rodgers","Charlie Blackmon","Ryan McMahon",10300,36.2,3.5
"TOR","@NYY - Severino ( R )","Bo Bichette","George Springer","Teoscar Hernandez",11900,36.2,3
"COL","CHC - Steele ( L )","Brendan Rodgers","Elias Diaz","Ryan McMahon",10100,36.2,3.6
"LAD","CIN - Cessa ( R )","Chris Taylor","Mookie Betts","Trea Turner",10400,36.1,3.5
"PHI","@MIA - Alcantara ( R )","Bryce Harper","J.T. Realmuto","Kyle Schwarber",10700,36.1,3.4
"CHC","@COL - Freeland ( L )","Nick Madrigal","Nico Hoerner","Seiya Suzuki",9200,36.1,3.9
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jared Walsh","Jo Adell",8600,36.1,4.2
"COL","CHC - Steele ( L )","Connor Joe","Jose Iglesias","Kris Bryant",10400,36.1,3.5
"PHI","@MIA - Alcantara ( R )","Bryce Harper","Nick Castellanos","Rhys Hoskins",11300,36,3.2
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Jeimer Candelario",8000,36,4.5
"LAD","CIN - Cessa ( R )","Max Muncy","Mookie Betts","Trea Turner",10200,36,3.5
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nico Hoerner","Willson Contreras",9200,36,3.9
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Nico Hoerner",9500,36,3.8
"LAD","CIN - Cessa ( R )","Justin Turner","Mookie Betts","Trea Turner",10400,36,3.5
"DET","@KC - Greinke ( R )","Austin Meadows","Jeimer Candelario","Robbie Grossman",8300,35.9,4.3
"WSH","@PIT - Brubaker ( R )","Josh Bell","Lane Thomas","Nelson Cruz",8500,35.9,4.2
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Randal Grichuk",9900,35.9,3.6
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Matt Duffy","Mike Trout",9400,35.9,3.8
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jared Walsh","Jo Adell",8000,35.9,4.5
"COL","CHC - Steele ( L )","Jose Iglesias","Kris Bryant","Ryan McMahon",10900,35.9,3.3
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Jose Iglesias",10500,35.9,3.4
"COL","CHC - Steele ( L )","Connor Joe","Elias Diaz","Randal Grichuk",9700,35.9,3.7
"LAD","CIN - Cessa ( R )","Mookie Betts","Trea Turner","Will Smith",10600,35.9,3.4
"PHI","@MIA - Alcantara ( R )","Bryce Harper","J.T. Realmuto","Rhys Hoskins",11000,35.9,3.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Nick Madrigal","Nico Hoerner",8500,35.9,4.2
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Josh Bell","Nelson Cruz",8300,35.8,4.3
"WSH","@PIT - Brubaker ( R )","Juan Soto","Keibert Ruiz","Victor Robles",9100,35.8,3.9
"LAA","@TEX - Dunning ( R )","Jo Adell","Max Stassi","Mike Trout",8700,35.8,4.1
"TOR","@NYY - Severino ( R )","Bo Bichette","George Springer","Vladimir Guerrero Jr.",12500,35.8,2.9
"COL","CHC - Steele ( L )","Charlie Blackmon","Randal Grichuk","Ryan McMahon",10400,35.8,3.4
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Keibert Ruiz","Nelson Cruz",8300,35.7,4.3
"DET","@KC - Greinke ( R )","Austin Meadows","Javier Baez","Jeimer Candelario",9100,35.7,3.9
"WSH","@PIT - Brubaker ( R )","Juan Soto","Maikel Franco","Victor Robles",8800,35.7,4.1
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Matt Duffy","Mike Trout",8800,35.7,4.1
"COL","CHC - Steele ( L )","C.J. Cron","Jose Iglesias","Ryan McMahon",11000,35.7,3.2
"COL","CHC - Steele ( L )","Elias Diaz","Randal Grichuk","Ryan McMahon",10200,35.7,3.5
"PIT","WAS - Adon ( R )","Bryan Reynolds","Dan Vogelbach","Ke'Bryan Hayes",8400,35.7,4.2
"CHC","@COL - Freeland ( L )","Ian Happ","Michael Hermosillo","Patrick Wisdom",9100,35.6,3.9
"TOR","@NYY - Severino ( R )","Bo Bichette","Teoscar Hernandez","Vladimir Guerrero Jr.",12200,35.6,2.9
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Maikel Franco","Nelson Cruz",8000,35.6,4.5
"COL","CHC - Steele ( L )","Charlie Blackmon","Connor Joe","Elias Diaz",9900,35.6,3.6
"KC","DET - Mize ( R )","Adalberto Mondesi","Salvador Perez","Whit Merrifield",9400,35.6,3.8
"PHI","@MIA - Alcantara ( R )","Bryce Harper","J.T. Realmuto","Nick Castellanos",11200,35.5,3.2
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Juan Soto","Lane Thomas",8600,35.5,4.1
"LAA","@TEX - Dunning ( R )","Jo Adell","Mike Trout","Tyler Wade",8500,35.5,4.2
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nick Madrigal","Patrick Wisdom",8100,35.5,4.4
"CHC","@COL - Freeland ( L )","Ian Happ","Michael Hermosillo","Seiya Suzuki",9700,35.5,3.7
"PHI","@MIA - Alcantara ( R )","Kyle Schwarber","Nick Castellanos","Rhys Hoskins",10700,35.4,3.3
"DET","@KC - Greinke ( R )","Akil Baddoo","Austin Meadows","Jonathan Schoop",8100,35.4,4.4
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Jared Walsh","Matt Duffy",8600,35.4,4.1
"COL","CHC - Steele ( L )","Charlie Blackmon","Elias Diaz","Ryan McMahon",10400,35.4,3.4
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Brandon Marsh","Mike Trout",9500,35.4,3.7
"DET","@KC - Greinke ( R )","Austin Meadows","Jonathan Schoop","Robbie Grossman",8400,35.4,4.2
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nick Madrigal","Seiya Suzuki",8700,35.3,4.1
"LAA","@TEX - Dunning ( R )","Jared Walsh","Jo Adell","Max Stassi",7900,35.3,4.5
"LAD","CIN - Cessa ( R )","Hanser Alberto","Mookie Betts","Trea Turner",9300,35.3,3.8
"PHI","@MIA - Alcantara ( R )","J.T. Realmuto","Kyle Schwarber","Rhys Hoskins",10400,35.3,3.4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Willson Contreras","Yan Gomes",9300,35.2,3.8
"WSH","@PIT - Brubaker ( R )","Keibert Ruiz","Maikel Franco","Nelson Cruz",8400,35.2,4.2
"LAA","@TEX - Dunning ( R )","Brandon Marsh","Jared Walsh","Matt Duffy",8000,35.2,4.4
"CHC","@COL - Freeland ( L )","Clint Frazier","Ian Happ","Michael Hermosillo",9000,35.2,3.9
"COL","CHC - Steele ( L )","Brendan Rodgers","Jose Iglesias","Kris Bryant",9900,35.2,3.6
"KC","DET - Mize ( R )","Adalberto Mondesi","Andrew Benintendi","Salvador Perez",9300,35.2,3.8
"DET","@KC - Greinke ( R )","Austin Meadows","Javier Baez","Jonathan Schoop",9200,35.2,3.8
"WSH","@PIT - Brubaker ( R )","Josh Bell","Nelson Cruz","Victor Robles",8300,35.1,4.2
"LAA","@TEX - Dunning ( R )","Matt Duffy","Max Stassi","Mike Trout",8700,35.1,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Michael Hermosillo","Nick Madrigal",8000,35.1,4.4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Jonathan Villar","Willson Contreras",9400,35,3.7
"LAA","@TEX - Dunning ( R )","Jared Walsh","Jo Adell","Tyler Wade",7700,35,4.6
"COL","CHC - Steele ( L )","Brendan Rodgers","Charlie Blackmon","Randal Grichuk",9400,35,3.7
"PIT","WAS - Adon ( R )","Ben Gamel","Bryan Reynolds","Ke'Bryan Hayes",8500,35,4.1
"PIT","WAS - Adon ( R )","Bryan Reynolds","Ke'Bryan Hayes","Yoshi Tsutsugo",8600,35,4.1
"KC","DET - Mize ( R )","Adalberto Mondesi","Bobby Witt Jr.","Salvador Perez",8800,35,4
"COL","CHC - Steele ( L )","Brendan Rodgers","C.J. Cron","Jose Iglesias",10000,35,3.5
"COL","CHC - Steele ( L )","Brendan Rodgers","Elias Diaz","Randal Grichuk",9200,35,3.8
"DET","@KC - Greinke ( R )","Akil Baddoo","Javier Baez","Robbie Grossman",8000,35,4.4
"COL","CHC - Steele ( L )","Connor Joe","Jose Iglesias","Ryan McMahon",10400,34.9,3.4
"PHI","@MIA - Alcantara ( R )","J.T. Realmuto","Kyle Schwarber","Nick Castellanos",10600,34.9,3.3
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Keibert Ruiz",8300,34.9,4.2
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Brandon Marsh","Jared Walsh",8700,34.9,4
"LAA","@TEX - Dunning ( R )","Matt Duffy","Mike Trout","Tyler Wade",8500,34.8,4.1
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Josh Bell","Maikel Franco",8000,34.8,4.4
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nico Hoerner","Patrick Wisdom",8500,34.8,4.1
"LAA","@TEX - Dunning ( R )","Anthony Rendon","Max Stassi","Mike Trout",9400,34.8,3.7
"WSH","@PIT - Brubaker ( R )","Juan Soto","Lane Thomas","Victor Robles",8600,34.8,4
"KC","DET - Mize ( R )","Andrew Benintendi","Salvador Perez","Whit Merrifield",9700,34.8,3.6
"LAD","CIN - Cessa ( R )","Chris Taylor","Freddie Freeman","Trea Turner",10200,34.8,3.4
"CHC","@COL - Freeland ( L )","Ian Happ","Nick Madrigal","Nico Hoerner",9200,34.8,3.8
"PIT","WAS - Adon ( R )","Ben Gamel","Bryan Reynolds","Dan Vogelbach",7400,34.7,4.7
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Lane Thomas","Nelson Cruz",7800,34.7,4.5
"COL","CHC - Steele ( L )","Jose Iglesias","Kris Bryant","Randal Grichuk",10000,34.7,3.5
"DET","@KC - Greinke ( R )","Austin Meadows","Jeimer Candelario","Jonathan Schoop",8500,34.7,4.1
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Juan Soto","Victor Robles",8400,34.7,4.1
"COL","CHC - Steele ( L )","Brendan Rodgers","Charlie Blackmon","Elias Diaz",9400,34.7,3.7
"PIT","WAS - Adon ( R )","Bryan Reynolds","Dan Vogelbach","Yoshi Tsutsugo",7500,34.7,4.6
"PHI","@MIA - Alcantara ( R )","J.T. Realmuto","Nick Castellanos","Rhys Hoskins",10900,34.7,3.2
"CHC","@COL - Freeland ( L )","Michael Hermosillo","Nico Hoerner","Seiya Suzuki",9100,34.6,3.8
"LAD","CIN - Cessa ( R )","Freddie Freeman","Max Muncy","Trea Turner",10000,34.6,3.5
"KC","DET - Mize ( R )","Bobby Witt Jr.","Salvador Perez","Whit Merrifield",9200,34.6,3.8
"WSH","@PIT - Brubaker ( R )","Alcides Escobar","Cesar Hernandez","Nelson Cruz",7600,34.6,4.6
"LAA","@TEX - Dunning ( R )","Jared Walsh","Matt Duffy","Max Stassi",7900,34.6,4.4
"LAD","CIN - Cessa ( R )","Freddie Freeman","Justin Turner","Trea Turner",10200,34.6,3.4
