"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"PHI","TB","Bryce Harper","Johan Camargo","Brandon Lowe","Wander Franco",13800,58.5,4.2
"MIL","PHI","Hunter Renfroe","Rowdy Tellez","Bryce Harper","Nick Castellanos",13400,58.4,4.4
"PHI","TB","Bryce Harper","J.T. Realmuto","Brandon Lowe","Mike Zunino",13800,58.4,4.2
"MIN","PHI","Carlos Correa","Jorge Polanco","Bryce Harper","J.T. Realmuto",14300,58.4,4.1
"MIL","PHI","Andrew McCutchen","Willy Adames","Bryce Harper","J.T. Realmuto",13800,58.4,4.2
"HOU","PHI","Alex Bregman","Jose Altuve","Bryce Harper","Rhys Hoskins",14700,58.4,4
"KC","PHI","Adalberto Mondesi","Salvador Perez","Bryce Harper","Rhys Hoskins",14000,58.4,4.2
"MIL","PHI","Christian Yelich","Willy Adames","Bryce Harper","J.T. Realmuto",13900,58.4,4.2
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","Jean Segura",14500,58.3,4
"MIL","PHI","Hunter Renfroe","Rowdy Tellez","Bryce Harper","Rhys Hoskins",13100,58.3,4.5
"PHI","SD","Bryce Harper","Nick Castellanos","Manny Machado","Trent Grisham",14900,58.3,3.9
"MIL","PHI","Andrew McCutchen","Christian Yelich","Bryce Harper","J.T. Realmuto",13800,58.3,4.2
"BOS","PHI","J.D. Martinez","Trevor Story","Bryce Harper","Jean Segura",14700,58.3,4
"PHI","TB","J.T. Realmuto","Nick Castellanos","Mike Zunino","Wander Franco",13800,58.2,4.2
"COL","PHI","Connor Joe","Sam Hilliard","Bryce Harper","Nick Castellanos",14500,58.2,4
"PHI","TB","Bryce Harper","Johan Camargo","Wander Franco","Yandy Diaz",12800,58.2,4.5
"PHI","TB","Bryce Harper","Kyle Schwarber","Mike Zunino","Wander Franco",13300,58.2,4.4
"BOS","PHI","Trevor Story","Xander Bogaerts","Nick Castellanos","Rhys Hoskins",14400,58.2,4
"PHI","SD","Bryce Harper","Rhys Hoskins","Manny Machado","Trent Grisham",14600,58.2,4
"PHI","TOR","Bryce Harper","Rhys Hoskins","Bo Bichette","Lourdes Gurriel",14700,58.2,4
"PHI","TB","Bryce Harper","J.T. Realmuto","Mike Zunino","Yandy Diaz",12800,58.2,4.5
"MIL","PHI","Rowdy Tellez","Willy Adames","Bryce Harper","Nick Castellanos",13600,58.1,4.3
"HOU","PHI","Alex Bregman","Kyle Tucker","Bryce Harper","Rhys Hoskins",14800,58.1,3.9
"PHI","TB","Bryce Harper","Jean Segura","Mike Zunino","Randy Arozarena",13000,58.1,4.5
"BOS","PHI","J.D. Martinez","Trevor Story","Nick Castellanos","Rhys Hoskins",14600,58.1,4
"PHI","TB","J.T. Realmuto","Rhys Hoskins","Mike Zunino","Wander Franco",13500,58.1,4.3
"COL","PHI","Connor Joe","Sam Hilliard","Bryce Harper","Rhys Hoskins",14200,58.1,4.1
"MIL","PHI","Hunter Renfroe","Kolten Wong","Bryce Harper","J.T. Realmuto",13300,58.1,4.4
"PHI","TB","Bryce Harper","Nick Castellanos","Kevin Kiermaier","Wander Franco",14000,58.1,4.1
"HOU","PHI","Jose Altuve","Yuli Gurriel","Bryce Harper","J.T. Realmuto",14000,58.1,4.1
"MIN","PHI","Jorge Polanco","Luis Arraez","Bryce Harper","Nick Castellanos",14200,58.1,4.1
"MIL","PHI","Andrew McCutchen","Rowdy Tellez","Bryce Harper","Nick Castellanos",13500,58,4.3
