"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Robert Woods","WR","TEN",5900,10.54,1.8,"81443-29685","@WAS",-112,43,-0.5,21.8,5.7,1
"Rachaad White","RB","TB",5800,6.36,1.1,"81443-137902","ATL",-466,46.5,-10,28.2,5.7,1
"Jamaal Williams","RB","DET",8300,13.4,1.6,"81443-45631","@NE",134,46.5,3,21.8,5.6,0.7
"Drake London","WR","ATL",6200,11.78,1.9,"81443-112745","@TB",360,46.5,10,18.2,5.5,0.9
"Alexander Mattison","RB","MIN",7300,5.9,0.8,"81443-72776","CHI",-350,44,-7.5,25.8,5.5,0.8
"Jauan Jennings","WR","SF",5500,4.42,0.8,"81443-61593","@CAR",-267,40,-6.5,23.2,5.5,1
"Scotty Miller","WR","TB",4700,2.51,0.5,"81443-61273","ATL",-466,46.5,-10,28.2,5.5,1.2
"Rashaad Penny","RB","SEA",6900,10.93,1.6,"81443-57840","@NO",190,45.5,5.5,20,5.4,0.8
"Antonio Gibson","RB","WAS",6300,9.86,1.6,"81443-90933","TEN",-106,43,0.5,21.2,5.4,0.9
"John Bates","TE","WAS",4400,3.94,0.9,"81443-72705","TEN",-106,43,0.5,21.2,5.4,1.2
"George Kittle","TE","SF",6500,8.58,1.3,"81443-39793","@CAR",-267,40,-6.5,23.2,5.2,0.8
"Devin Singletary","RB","BUF",6000,11.74,2,"81443-70603","PIT",-860,45.5,-14,29.8,5.1,0.8
"Najee Harris","RB","PIT",6600,11.46,1.7,"81443-90575","@BUF",583,45.5,14,15.8,5.1,0.8
"Russell Gage","WR","TB",6200,7.94,1.3,"81443-52916","ATL",-466,46.5,-10,28.2,5,0.8
"Darrell Henderson","RB","LAR",6100,7.85,1.3,"81443-70157","DAL",-235,42.5,-5.5,24,5,0.8
"James Robinson","RB","JAX",8000,12.59,1.6,"81443-130288","HOU",-323,43.5,-7,25.2,4.9,0.6
"Corey Davis","WR","NYJ",5900,7.97,1.4,"81443-45439","MIA",153,46,3.5,21.2,4.8,0.8
"A.J. Brown","WR","PHI",8000,14.7,1.8,"81443-72846","@ARI",-230,48.5,-5.5,27,4.7,0.6
"Adam Thielen","WR","MIN",6300,10.66,1.7,"81443-39716","CHI",-350,44,-7.5,25.8,4.7,0.7
