"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Zay Flowers","WR","BAL",5500,7.68,1.4,"92765-112295","HOU",43.5,-10,26.75
"Odell Beckham","WR","BAL",5700,7.64,1.3,"92765-31360","HOU",43.5,-10,26.75
"Saints","D","NO",4300,7.64,1.8,"92765-12542","TEN",41,-3,22
"Falcons","D","ATL",4500,7.63,1.7,"92765-12525","CAR",39.5,-3.5,21.5
"Rashid Shaheed","WR","NO",5400,7.48,1.4,"92765-170287","TEN",41,-3,22
"Jaguars","D","JAX",4400,7.44,1.7,"92765-12554","@IND",45,-5,25
"Seahawks","D","SEA",4200,7.34,1.7,"92765-12550","LAR",46,-5.5,25.75
"D.J. Chark","WR","CAR",5600,7.32,1.3,"92765-52917","@ATL",39.5,3.5,18
"DeVante Parker","WR","NE",5200,7.29,1.4,"92765-33260","PHI",45,4,20.5
"Tyler Boyd","WR","CIN",5400,7.24,1.3,"92765-40669","@CLE",47.5,-2.5,25
"Darnell Mooney","WR","CHI",5900,7.23,1.2,"92765-69777","GB",43,-1,22
"David Njoku","TE","CLE",5600,7.1,1.3,"92765-55335","CIN",47.5,2.5,22.5
"Broncos","D","DEN",4000,7.09,1.8,"92765-12531","LV",44,-4,24
"Rondale Moore","WR","ARI",5600,7.06,1.3,"92765-93408","@WAS",38,7,15.5
"Elijah Moore","WR","CLE",5700,7.04,1.2,"92765-88575","CIN",47.5,2.5,22.5
"Romeo Doubs","WR","GB",5300,7.03,1.3,"92765-94370","@CHI",43,1,21
"Tyler Allgeier","RB","ATL",5400,7,1.3,"92765-90428","CAR",39.5,-3.5,21.5
"Juwan Johnson","TE","NO",5100,6.98,1.4,"92765-64808","TEN",41,-3,22
"Bengals","D","CIN",3900,6.98,1.8,"92765-12528","@CLE",47.5,-2.5,25
"Jayden Reed","WR","GB",5000,6.92,1.4,"92765-89455","@CHI",43,1,21
"Dalton Schultz","TE","HOU",5200,6.91,1.3,"92765-55042","@BAL",43.5,10,16.75
"Adam Thielen","WR","CAR",6000,6.87,1.1,"92765-39716","@ATL",39.5,3.5,18
"Hunter Renfrow","WR","LV",5300,6.85,1.3,"92765-57986","@DEN",44,4,20
"Steelers","D","PIT",3800,6.7,1.8,"92765-12547","SF",41,2.5,19.25
"Kendrick Bourne","WR","NE",4900,6.64,1.4,"92765-80289","PHI",45,4,20.5
"Raiders","D","LV",3700,6.55,1.8,"92765-12537","@DEN",44,4,20
"Titans","D","TEN",3800,6.52,1.7,"92765-12534","@NO",41,3,19
"Donovan Peoples-Jones","WR","CLE",5900,6.46,1.1,"92765-91426","CIN",47.5,2.5,22.5
"Alec Pierce","WR","IND",5200,6.46,1.2,"92765-86312","JAX",45,5,20
"Kenneth Gainwell","RB","PHI",4900,6.45,1.3,"92765-90912","@NE",45,-4,24.5
"Bears","D","CHI",4000,6.37,1.6,"92765-12527","GB",43,-1,22
"Pat Freiermuth","TE","PIT",5700,6.32,1.1,"92765-86244","SF",41,2.5,19.25
"Robert Woods","WR","HOU",5400,6.31,1.2,"92765-29685","@BAL",43.5,10,16.75
"Zach Charbonnet","RB","SEA",4800,6.29,1.3,"92765-103376","LAR",46,-5.5,25.75
"Chargers","D","LAC",3400,6.29,1.9,"92765-12548","MIA",51,-3,27
"K.J. Osborn","WR","MIN",5100,6.26,1.2,"92765-63855","TB",45.5,-6,25.75
