"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Gardner Minshew","QB","LV",6800,14.14,2.1,"105738-61798","@LAC",41,3.5,18.75,0
"Jonathan Taylor","RB","IND",8600,14.07,1.6,"105738-89675","HOU",49,2.5,23.25,0
"Kyren Williams","RB","LAR",7800,13.96,1.8,"105738-104433",NA,NA,NA,NA,0.35
"Jahmyr Gibbs","RB","DET",8000,13.72,1.7,"105738-129368",NA,NA,NA,NA,4.01
"Bryce Young","QB","CAR",6700,13.7,2,"105738-119606","@NO",40,4.5,17.75,0.58
"Puka Nacua","WR","LAR",8400,13.43,1.6,"105738-103020",NA,NA,NA,NA,0.3
"Alvin Kamara","RB","NO",7100,13.26,1.9,"105738-42104","CAR",40,-4.5,22.25,0
"Travis Etienne","RB","JAX",7500,13.14,1.8,"105738-89956","@MIA",49.5,3,23.25,4.31
"Kenneth Walker","RB","SEA",7400,13.09,1.8,"105738-103342","DEN",42,-5.5,23.75,5.44
"Nico Collins","WR","HOU",7100,12.97,1.8,"105738-91419","@IND",49,-2.5,25.75,3.43
"Mike Evans","WR","TB",7900,12.95,1.6,"105738-32384","WAS",43.5,-3.5,23.5,7.92
"Joe Mixon","RB","HOU",7300,12.8,1.8,"105738-52442","@IND",49,-2.5,25.75,6.27
"James Cook","RB","BUF",7600,12.69,1.7,"105738-91626","ARI",48,-6,27,4.91
"Aaron Jones","RB","MIN",6800,12.6,1.9,"105738-40442","@NYG",41.5,-1,21.25,8.09
"Sam LaPorta","TE","DET",8000,12.44,1.6,"105738-105646",NA,NA,NA,NA,3.11
"James Conner","RB","ARI",6100,12.42,2,"105738-40687","@BUF",48,6,21,10.58
"De'Von Achane","RB","MIA",7200,12.09,1.7,"105738-138820","JAX",49.5,-3,26.25,0
"Cooper Kupp","WR","LAR",7000,12.05,1.7,"105738-79970",NA,NA,NA,NA,0
"Jaylen Waddle","WR","MIA",7200,11.95,1.7,"105738-90573","JAX",49.5,-3,26.25,6.84
"D.K. Metcalf","WR","SEA",6900,11.85,1.7,"105738-73048","DEN",42,-5.5,23.75,NA
"Davante Adams","WR","LV",7500,11.76,1.6,"105738-45889","@LAC",41,3.5,18.75,8.42
"Drake London","WR","ATL",6700,11.65,1.7,"105738-112745","PIT",41,-3,22,8.44
"Michael Pittman","WR","IND",6500,11.6,1.8,"105738-69213","HOU",49,2.5,23.25,6.61
"D.J. Moore","WR","CHI",6900,11.54,1.7,"105738-63043","TEN",45.5,-4.5,25,NA
"Chris Olave","WR","NO",7000,11.53,1.6,"105738-87770","CAR",40,-4.5,22.25,6.53
"Tank Dell","WR","HOU",6400,11.37,1.8,"105738-129291","@IND",49,-2.5,25.75,1.27
"David Montgomery","RB","DET",7000,11.08,1.6,"105738-73273",NA,NA,NA,NA,5.34
"Amari Cooper","WR","CLE",6600,11.07,1.7,"105738-31001","DAL",42,-2.5,22.25,5.07
"Stefon Diggs","WR","HOU",6800,10.94,1.6,"105738-25079","@IND",49,-2.5,25.75,8.53
"Christian Kirk","WR","JAX",6100,10.8,1.8,"105738-60858","@MIA",49.5,3,23.25,8.86
"Javonte Williams","RB","DEN",6100,10.74,1.8,"105738-93541","@SEA",42,5.5,18.25,4.12
"Marvin Harrison","WR","ARI",6600,10.72,1.6,"105738-152651","@BUF",48,6,21,0
"Keenan Allen","WR","CHI",6700,10.7,1.6,"105738-29253","TEN",45.5,-4.5,25,7.34
"Rhamondre Stevenson","RB","NE",6200,10.69,1.7,"105738-111540","@CIN",40.5,9,15.75,7.38
"Chuba Hubbard","RB","CAR",5600,10.64,1.9,"105738-87467","@NO",40,4.5,17.75,0.38
"Tee Higgins","WR","CIN",6800,10.63,1.6,"105738-89981","NE",40.5,-9,24.75,6.15
"Chris Godwin","WR","TB",5600,10.53,1.9,"105738-55635","WAS",43.5,-3.5,23.5,18.23
"Raheem Mostert","RB","MIA",6600,10.43,1.6,"105738-28744","JAX",49.5,-3,26.25,8.26
"Zamir White","RB","LV",6400,10.39,1.6,"105738-91578","@LAC",41,3.5,18.75,0.12
"Malik Nabers","WR","NYG",6300,10.36,1.6,"105738-151761","MIN",41.5,1,20.25,0
"Jerome Ford","RB","CLE",6200,10.28,1.7,"105738-90533","DAL",42,-2.5,22.25,0.24
"George Pickens","WR","PIT",6500,10.27,1.6,"105738-110246","@ATL",41,3,19,4.17
"Calvin Ridley","WR","TEN",6200,10.18,1.6,"105738-64555","@CHI",45.5,4.5,20.5,7.09
"Najee Harris","RB","PIT",6700,10.16,1.5,"105738-90575","@ATL",41,3,19,5.69
"Tony Pollard","RB","TEN",6300,9.99,1.6,"105738-63759","@CHI",45.5,4.5,20.5,12.14
"Devin Singletary","RB","NYG",6300,9.96,1.6,"105738-70603","MIN",41.5,1,20.25,0.71
"Terry McLaurin","WR","WAS",6200,9.77,1.6,"105738-56250","@TB",43.5,3.5,20,7.95
"Dalton Kincaid","TE","BUF",6800,9.67,1.4,"105738-145558","ARI",48,-6,27,3.37
"Evan Engram","TE","JAX",6200,9.65,1.6,"105738-41872","@MIA",49.5,3,23.25,5.41
"D'Andre Swift","RB","CHI",6500,9.59,1.5,"105738-91598","TEN",45.5,-4.5,25,5.56
"Brian Robinson","RB","WAS",5900,9.57,1.6,"105738-90562","@TB",43.5,3.5,20,4.13
"Trey McBride","TE","ARI",6400,9.5,1.5,"105738-91750","@BUF",48,6,21,2.24
"Ezekiel Elliott","RB","DAL",5800,9.44,1.6,"105738-38791","@CLE",42,2.5,19.75,0.73
"Zack Moss","RB","CIN",6900,9.3,1.3,"105738-70027","NE",40.5,-9,24.75,0
"DeAndre Hopkins","WR","TEN",5900,9.3,1.6,"105738-16606","@CHI",45.5,4.5,20.5,5.5
