"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"RB","Gus Edwards","LAC","LV",6000,8.48,1.4,41,-3.5,22.25,1.04
"RB","Tyjae Spears","TEN","@CHI",5400,8.41,1.6,45.5,4.5,20.5,0.07
"TE","David Njoku","CLE","DAL",5900,8.37,1.4,42,-2.5,22.25,4.71
"WR","Jakobi Meyers","LV","@LAC",5100,8.27,1.6,41,3.5,18.75,3.36
"TE","Jake Ferguson","DAL","@CLE",6000,8.26,1.4,42,2.5,19.75,3.76
"WR","Khalil Shakir","BUF","ARI",5400,8.15,1.5,48,-6,27,0.34
"WR","Jerry Jeudy","CLE","DAL",5700,8.05,1.4,42,-2.5,22.25,0
"D","Saints","NO","CAR",4700,8.03,1.7,40,-4.5,22.25,NA
"WR","Adam Thielen","CAR","@NO",5400,8,1.5,40,4.5,17.75,1.98
"QB","Drake Maye","NE","@CIN",6500,7.79,1.2,40.5,9,15.75,0
"D","Bucs","TB","WAS",4900,7.76,1.6,43.5,-3.5,23.5,NA
"WR","Ladd McConkey","LAC","LV",5300,7.68,1.4,41,-3.5,22.25,0
"WR","Rashid Shaheed","NO","CAR",5200,7.6,1.5,40,-4.5,22.25,3.62
"D","Bengals","CIN","NE",4800,7.56,1.6,40.5,-9,24.75,NA
"WR","Keon Coleman","BUF","ARI",6000,7.55,1.3,48,-6,27,0
"WR","Gabe Davis","JAX","@MIA",6100,7.54,1.2,49.5,3,23.25,4.36
"D","Seahawks","SEA","DEN",4400,7.54,1.7,42,-5.5,23.75,NA
"WR","Wan'Dale Robinson","NYG","MIN",4700,7.46,1.6,41.5,1,20.25,0
"WR","Demario Douglas","NE","@CIN",4000,7.41,1.9,40.5,9,15.75,NA
"D","Vikings","MIN","@NYG",5000,7.4,1.5,41.5,-1,21.25,NA
"WR","Brandin Cooks","DAL","@CLE",5300,7.38,1.4,42,2.5,19.75,6.3
"D","Chargers","LAC","LV",4000,7.32,1.8,41,-3.5,22.25,NA
"TE","Dalton Schultz","HOU","@IND",5600,7.21,1.3,49,-2.5,25.75,4.48
"D","Browns","CLE","DAL",4100,7.12,1.7,42,-2.5,22.25,NA
"D","Bears","CHI","TEN",4000,7.1,1.8,45.5,-4.5,25,NA
"D","Falcons","ATL","PIT",3600,7.07,2,41,-3,22,NA
"RB","Tyler Allgeier","ATL","PIT",5500,6.86,1.2,41,-3,22,2.03
"D","Bills","BUF","ARI",4600,6.82,1.5,48,-6,27,NA
"D","Cowboys","DAL","@CLE",4500,6.82,1.5,42,2.5,19.75,NA
"WR","Michael Wilson","ARI","@BUF",4500,6.64,1.5,48,6,21,2.36
"RB","Ty Chandler","MIN","@NYG",5100,6.62,1.3,41.5,-1,21.25,0.44
"TE","Taysom Hill","NO","CAR",5500,6.61,1.2,40,-4.5,22.25,1.54
"D","Texans","HOU","@IND",3900,6.57,1.7,49,-2.5,25.75,NA
"D","Giants","NYG","MIN",3800,6.57,1.7,41.5,1,20.25,NA
"WR","Darius Slayton","NYG","MIN",4200,6.53,1.6,41.5,1,20.25,2.36
"TE","Brock Bowers","LV","@LAC",5400,6.48,1.2,41,3.5,18.75,0
"RB","Zach Charbonnet","SEA","DEN",5300,6.48,1.2,42,-5.5,23.75,3.45
"RB","J.K. Dobbins","LAC","LV",5500,6.37,1.2,41,-3.5,22.25,8.95
"D","Dolphins","MIA","JAX",4200,6.32,1.5,49.5,-3,26.25,NA
"D","Steelers","PIT","@ATL",4300,6.27,1.5,41,3,19,NA
"RB","Blake Corum","LAR",NA,5400,6.24,1.2,NA,NA,NA,0
"RB","Khalil Herbert","CHI","TEN",5900,6.21,1.1,45.5,-4.5,25,3.52
"WR","Darnell Mooney","ATL","PIT",4800,6.13,1.3,41,-3,22,4.04
"D","Titans","TEN","@CHI",3700,6.02,1.6,45.5,4.5,20.5,NA
"D","Commanders","WAS","@TB",3400,6.01,1.8,43.5,3.5,20,NA
"D","Raiders","LV","@LAC",3800,5.99,1.6,41,3.5,18.75,NA
"RB","Rico Dowdle","DAL","@CLE",5200,5.98,1.2,42,2.5,19.75,0.3
"D","Colts","IND","HOU",3500,5.95,1.7,49,2.5,23.25,NA
"TE","Cole Kmet","CHI","TEN",5100,5.9,1.2,45.5,-4.5,25,4.41
"D","Broncos","DEN","@SEA",3400,5.88,1.7,42,5.5,18.25,NA
"RB","Antonio Gibson","NE","@CIN",5300,5.87,1.1,40.5,9,15.75,5.35
"TE","Cade Otton","TB","WAS",5200,5.83,1.1,43.5,-3.5,23.5,2.82
"WR","Adonai Mitchell","IND","HOU",5500,5.82,1.1,49,2.5,23.25,0
"WR","Josh Downs","IND","HOU",5500,5.81,1.1,49,2.5,23.25,0.8
"WR","Demarcus Robinson","LAR",NA,4200,5.81,1.4,NA,NA,NA,1.49
"D","Lions","DET",NA,3900,5.76,1.5,NA,NA,NA,NA
"RB","Jaleel McLaughlin","DEN","@SEA",5000,5.74,1.1,42,5.5,18.25,0.01
"TE","Chig Okonkwo","TEN","@CHI",4800,5.7,1.2,45.5,4.5,20.5,NA
"WR","D.J. Chark","LAC","LV",4800,5.65,1.2,41,-3.5,22.25,NA
"WR","Ja'Lynn Polk","NE","@CIN",4800,5.65,1.2,40.5,9,15.75,0
"D","Jaguars","JAX","@MIA",3700,5.65,1.5,49.5,3,23.25,NA
"D","Panthers","CAR","@NO",3200,5.62,1.8,40,4.5,17.75,NA
"D","Patriots","NE","@CIN",3100,5.56,1.8,40.5,9,15.75,NA
"WR","Josh Reynolds","DEN","@SEA",4800,5.53,1.2,42,5.5,18.25,0.97
"D","Cardinals","ARI","@BUF",3000,5.45,1.8,48,6,21,NA
"TE","Pat Freiermuth","PIT","@ATL",5300,5.43,1,41,3,19,4.12
"WR","Tre Tucker","LV","@LAC",4500,5.37,1.2,41,3.5,18.75,0
"TE","Hunter Henry","NE","@CIN",4900,5.36,1.1,40.5,9,15.75,4.29
"TE","Juwan Johnson","NO","CAR",4700,5.36,1.1,40,-4.5,22.25,4.22
"D","Rams","LAR",NA,3300,5.33,1.6,NA,NA,NA,NA
"TE","Noah Fant","SEA","DEN",5000,5.3,1.1,42,-5.5,23.75,2.83
"TE","Jonnu Smith","MIA","JAX",4600,5.27,1.1,49.5,-3,26.25,0.77
"TE","Colby Parkinson","LAR",NA,4700,5.21,1.1,NA,NA,NA,0.14
"WR","Tyler Boyd","TEN","@CHI",4900,5.08,1,45.5,4.5,20.5,2.22
"WR","Greg Dortch","ARI","@BUF",4600,4.97,1.1,48,6,21,0.53
"WR","Roman Wilson","PIT","@ATL",5000,4.93,1,41,3,19,0
"WR","Jalen McMillan","TB","WAS",5000,4.88,1,43.5,-3.5,23.5,0
"WR","Xavier Legette","CAR","@NO",4900,4.87,1,40,4.5,17.75,0
"WR","Andrei Iosivas","CIN","NE",4300,4.86,1.1,40.5,-9,24.75,0
"RB","Trey Benson","ARI","@BUF",5000,4.76,1,48,6,21,0
"WR","Quentin Johnston","LAC","LV",4900,4.75,1,41,-3.5,22.25,3.09
"WR","Marvin Mims","DEN","@SEA",4300,4.75,1.1,42,5.5,18.25,4.94
"TE","Hayden Hurst","LAC","LV",4800,4.69,1,41,-3.5,22.25,3.84
"WR","Elijah Moore","CLE","DAL",4500,4.66,1,42,-2.5,22.25,6.33
"RB","Jamaal Williams","NO","CAR",5000,4.64,0.9,40,-4.5,22.25,8.38
"WR","K.J. Osborn","NE","@CIN",4600,4.61,1,40.5,9,15.75,1.43
"WR","Noah Brown","WAS","@TB",4200,4.57,1.1,43.5,3.5,20,0.23
"WR","Alec Pierce","IND","HOU",5100,4.52,0.9,49,2.5,23.25,1.72
"WR","Jalin Hyatt","NYG","MIN",4800,4.4,0.9,41.5,1,20.25,0.79
"TE","Zach Ertz","WAS","@TB",4800,4.28,0.9,43.5,3.5,20,0.57
"RB","Miles Sanders","CAR","@NO",5300,4.21,0.8,40,4.5,17.75,8.57
"RB","Bucky Irving","TB","WAS",5000,4.21,0.8,43.5,-3.5,23.5,0
"TE","Mike Gesicki","CIN","NE",4900,4.21,0.9,40.5,-9,24.75,2.32
"RB","Alexander Mattison","LV","@LAC",5200,4.2,0.8,41,3.5,18.75,10.13
"WR","Trey Palmer","TB","WAS",4500,4.19,0.9,43.5,-3.5,23.5,0.7
"RB","D'Onta Foreman","CLE","DAL",5200,4.18,0.8,42,-2.5,22.25,0
"RB","Ray Davis","BUF","ARI",4900,4.17,0.9,48,-6,27,0
"WR","Kalif Raymond","DET",NA,4900,4.15,0.8,NA,NA,NA,0.7
"TE","Kylen Granson","IND","HOU",4700,4.05,0.9,49,2.5,23.25,1.92
"WR","Jalen Tolbert","DAL","@CLE",4700,3.87,0.8,42,2.5,19.75,0.09
"TE","Ben Sinnott","WAS","@TB",4400,3.72,0.8,43.5,3.5,20,0
"WR","Van Jefferson","PIT","@ATL",5000,3.71,0.7,41,3,19,1.96
"WR","Dyami Brown","WAS","@TB",4100,3.69,0.9,43.5,3.5,20,0.04
"TE","Greg Dulcich","DEN","@SEA",4600,3.65,0.8,42,5.5,18.25,2.35
"WR","Jermaine Burton","CIN","NE",4800,3.62,0.8,40.5,-9,24.75,0
"RB","Roschon Johnson","CHI","TEN",5000,3.6,0.7,45.5,-4.5,25,0.08
"WR","Ray-Ray McCloud","ATL","PIT",4300,3.55,0.8,41,-3,22,0.04
"WR","Jonathan Mingo","CAR","@NO",4400,3.54,0.8,40,4.5,17.75,2.3
"TE","Gerald Everett","CHI","TEN",4600,3.53,0.8,45.5,-4.5,25,3.44
"TE","Dawson Knox","BUF","ARI",4800,3.45,0.7,48,-6,27,4.25
"TE","Johnny Mundt","MIN","@NYG",4400,3.45,0.8,41.5,-1,21.25,0.02
"WR","Luke McCaffrey","WAS","@TB",4200,3.42,0.8,43.5,3.5,20,0
"RB","Tyrone Tracy","NYG","MIN",5000,3.39,0.7,41.5,1,20.25,0
"RB","Dameon Pierce","HOU","@IND",5100,3.34,0.7,49,-2.5,25.75,6.12
"WR","Treylon Burks","TEN","@CHI",4500,3.31,0.7,45.5,4.5,20.5,5.94
"WR","Cedrick Wilson","NO","CAR",4300,3.21,0.7,40,-4.5,22.25,0
"WR","A.T. Perry","NO","CAR",4200,3.03,0.7,40,-4.5,22.25,0
"TE","Daniel Bellinger","NYG","MIN",5000,3.01,0.6,41.5,1,20.25,0.46
"TE","Theo Johnson","NYG","MIN",4400,3.01,0.7,41.5,1,20.25,0
"WR","Braxton Berrios","MIA","JAX",4100,2.96,0.7,49.5,-3,26.25,0.54
"RB","Tank Bigsby","JAX","@MIA",4900,2.91,0.6,49.5,3,23.25,0.51
"TE","Josh Oliver","MIN","@NYG",4300,2.9,0.7,41.5,-1,21.25,0.18
"WR","Jalen Nailor","MIN","@NYG",4200,2.9,0.7,41.5,-1,21.25,0
"TE","Tommy Tremble","CAR","@NO",4800,2.85,0.6,40,4.5,17.75,0.16
"TE","Will Dissly","LAC","LV",4300,2.75,0.6,41,-3.5,22.25,0.41
"WR","Troy Franklin","DEN","@SEA",4200,2.73,0.7,42,5.5,18.25,0
"WR","Calvin Austin","PIT","@ATL",4200,2.73,0.7,41,3,19,0.25
"RB","Audric Estime","DEN","@SEA",4800,2.71,0.6,42,5.5,18.25,0
"TE","Durham Smythe","MIA","JAX",4300,2.71,0.6,49.5,-3,26.25,1.33
"TE","Tanner Hudson","CIN","NE",4300,2.7,0.6,40.5,-9,24.75,0
"WR","Brenden Rice","LAC","LV",4000,2.7,0.7,41,-3.5,22.25,0
"TE","Michael Mayer","LV","@LAC",4900,2.67,0.5,41,3.5,18.75,2.17
"RB","Kimani Vidal","LAC","LV",4900,2.63,0.5,41,-3.5,22.25,0
"RB","Ty Johnson","BUF","ARI",4400,2.63,0.6,48,-6,27,0
"TE","Ja'Tavion Sanders","CAR","@NO",4500,2.62,0.6,40,4.5,17.75,0
"WR","Cedric Tillman","CLE","DAL",4200,2.62,0.6,42,-2.5,22.25,0.1
"WR","Parker Washington","JAX","@MIA",4400,2.55,0.6,49.5,3,23.25,0
"WR","Malik Washington","MIA","JAX",4000,2.4,0.6,49.5,-3,26.25,0
"WR","Marquez Valdes-Scantling","BUF","ARI",4900,2.37,0.5,48,-6,27,2.9
"WR","Tutu Atwell","LAR",NA,4800,2.37,0.5,NA,NA,NA,2.87
"WR","Mack Hollins","BUF","ARI",4100,2.37,0.6,48,-6,27,0.67
"TE","Adam Trautman","DEN","@SEA",4100,2.34,0.6,42,5.5,18.25,0.81
"WR","Olamide Zaccheaus","WAS","@TB",4400,2.26,0.5,43.5,3.5,20,0.14
"WR","KhaDarel Hodge","ATL","PIT",4300,2.25,0.5,41,-3,22,0.01
"TE","Foster Moreau","NO","CAR",4400,2.23,0.5,40,-4.5,22.25,0.79
"RB","Eric Gray","NYG","MIN",4400,2.19,0.5,41.5,1,20.25,0
