Team,Player1,Player2
MEM,Desmond Bane,Ja Morant
NO,Devonte Graham,Jonas Valanciunas
PHI,Andre Drummond,Tyrese Maxey
NO,Brandon Ingram,Josh Hart
SA,Dejounte Murray,Derrick White
UTA,Donovan Mitchell,Mike Conley
MEM,Ja Morant,Kyle Anderson
CHA,LaMelo Ball,Mason Plumlee
PHI,Seth Curry,Tobias Harris
SAC,De'Aaron Fox,Harrison Barnes
UTA,Mike Conley,Rudy Gobert
ATL,Kevin Huerter,Trae Young
BOS,Al Horford,Jaylen Brown
BKN,DeAndre Bembry,Kevin Durant
CHI,Alex Caruso,DeMar DeRozan
OKC,Josh Giddey,Shai Gilgeous-Alexander
MIL,Bobby Portis,Khris Middleton
IND,Malcolm Brogdon,Myles Turner
CHA,Gordon Hayward,Miles Bridges
PHI,Georges Niang,Tobias Harris
CLE,Jarrett Allen,Ricky Rubio
BKN,Blake Griffin,Kevin Durant
CHI,Alex Caruso,Zach LaVine
SAC,De'Aaron Fox,Richaun Holmes
MEM,Ja Morant,Steven Adams
SA,Dejounte Murray,Jakob Poeltl
MIL,Bobby Portis,Jrue Holiday
SAC,De'Aaron Fox,Tyrese Haliburton
CHA,Kelly Oubre,LaMelo Ball
MIN,Jarred Vanderbilt,Karl-Anthony Towns
BOS,Al Horford,Robert Williams
IND,Caris LeVert,Malcolm Brogdon
NO,Brandon Ingram,Nickeil Alexander-Walker
MIL,Jrue Holiday,Khris Middleton
HOU,Christian Wood,Kevin Porter
UTA,Bojan Bogdanovic,Donovan Mitchell
UTA,Bojan Bogdanovic,Rudy Gobert
ATL,Danilo Gallinari,Trae Young
NO,Brandon Ingram,Devonte Graham
CHA,Miles Bridges,Terry Rozier
ATL,Cam Reddish,Trae Young
PHI,Furkan Korkmaz,Tobias Harris
MIN,Karl-Anthony Towns,Malik Beasley
UTA,Donovan Mitchell,Jordan Clarkson
WAS,Bradley Beal,Daniel Gafford
ATL,Bogdan Bogdanovic,Trae Young
UTA,Jordan Clarkson,Rudy Gobert
SA,Dejounte Murray,Devin Vassell
MIL,Giannis Antetokounmpo,Thanasis Antetokounmpo
PHX,Chris Paul,Mikal Bridges
MIN,Anthony Edwards,Patrick Beverley
PHX,Devin Booker,Mikal Bridges
BKN,James Harden,Jevon Carter
BOS,Al Horford,Dennis Schroder
BKN,James Harden,James Johnson
CHA,Cody Martin,LaMelo Ball
SAC,Harrison Barnes,Richaun Holmes
BOS,Jaylen Brown,Robert Williams
BOS,Al Horford,Marcus Smart
SAC,Buddy Hield,De'Aaron Fox
MIN,D'Angelo Russell,Patrick Beverley
WAS,Kyle Kuzma,Spencer Dinwiddie
OKC,Luguentz Dort,Shai Gilgeous-Alexander
PHI,Shake Milton,Tobias Harris
MIL,Giannis Antetokounmpo,Rodney Hood
WAS,Montrezl Harrell,Spencer Dinwiddie
CHI,DeMar DeRozan,Tony Bradley
WAS,Bradley Beal,Kentavious Caldwell-Pope
SAC,Harrison Barnes,Tyrese Haliburton
ORL,Mo Bamba,Wendell Carter
CLE,Darius Garland,Lauri Markkanen
CHI,Tony Bradley,Zach LaVine
WAS,Kyle Kuzma,Montrezl Harrell
MEM,Brandon Clarke,Ja Morant
HOU,Christian Wood,Jae'Sean Tate
CHA,Mason Plumlee,Miles Bridges
PHX,Deandre Ayton,Mikal Bridges
BKN,Jevon Carter,Kevin Durant
SA,Dejounte Murray,Lonnie Walker
UTA,Donovan Mitchell,Royce O'Neale
SAC,Richaun Holmes,Tyrese Haliburton
PHX,Chris Paul,Jae Crowder
ORL,Jalen Suggs,Mo Bamba
BKN,James Johnson,Kevin Durant
MIN,Jaden McDaniels,Karl-Anthony Towns
PHI,Andre Drummond,Seth Curry
PHX,Devin Booker,Jae Crowder
UTA,Royce O'Neale,Rudy Gobert
SA,Dejounte Murray,Doug McDermott
PHI,Seth Curry,Tyrese Maxey
BOS,Dennis Schroder,Jaylen Brown
HOU,Christian Wood,Jalen Green
BKN,James Harden,Paul Millsap
CLE,Darius Garland,Kevin Love
BOS,Jaylen Brown,Marcus Smart
ATL,Clint Capela,Kevin Huerter
IND,Domantas Sabonis,T.J. McConnell
PHI,Andre Drummond,Georges Niang
PHI,Georges Niang,Tyrese Maxey
SAC,Chimezie Metu,De'Aaron Fox
IND,Caris LeVert,Myles Turner
CLE,Darius Garland,Isaac Okoro
CLE,Lauri Markkanen,Ricky Rubio
SA,Dejounte Murray,Drew Eubanks
IND,Chris Duarte,Domantas Sabonis
UTA,Donovan Mitchell,Joe Ingles
OKC,Darius Bazley,Shai Gilgeous-Alexander
MIN,Karl-Anthony Towns,Naz Reid
BOS,Jayson Tatum,Josh Richardson
UTA,Donovan Mitchell,Hassan Whiteside
UTA,Joe Ingles,Rudy Gobert
CHA,Kelly Oubre,Miles Bridges
ORL,Jalen Suggs,Wendell Carter
CHA,Jalen McDaniels,LaMelo Ball
UTA,Hassan Whiteside,Rudy Gobert
CLE,Jarrett Allen,Lauri Markkanen
SAC,Buddy Hield,Harrison Barnes
UTA,Donovan Mitchell,Rudy Gay
MEM,Ja Morant,Tyus Jones
ATL,John Collins,Kevin Huerter
PHX,Deandre Ayton,Jae Crowder
PHX,Cameron Payne,Chris Paul
HOU,Christian Wood,Eric Gordon
MIN,Anthony Edwards,Jarred Vanderbilt
BOS,Grant Williams,Jayson Tatum
PHX,Cameron Payne,Devin Booker
UTA,Rudy Gay,Rudy Gobert
SA,Dejounte Murray,Thaddeus Young
CHI,DeMar DeRozan,Derrick Jones
CLE,Kevin Love,Ricky Rubio
BOS,Dennis Schroder,Robert Williams
WAS,Bradley Beal,Deni Avdija
BKN,Kevin Durant,Paul Millsap
BOS,Marcus Smart,Robert Williams
CHI,Alex Caruso,Lonzo Ball
PHX,Chris Paul,JaVale McGee
CHI,Derrick Jones,Zach LaVine
SAC,Buddy Hield,Richaun Holmes
PHX,Devin Booker,JaVale McGee
MIL,Bobby Portis,Grayson Allen
CLE,Isaac Okoro,Ricky Rubio
IND,Domantas Sabonis,Justin Holiday
CHI,Coby White,DeMar DeRozan
CLE,Jarrett Allen,Kevin Love
CHA,Gordon Hayward,Terry Rozier
OKC,Josh Giddey,Luguentz Dort
