Pos,Player,Team,Opp,Salary,Proj,Value,lookOpp,playerdata
RB,Tony Jones,NO,@NE,4000,5.04,1.3,NE,"Tony Jones
4000 5.04"
WR,Parris Campbell,IND,@TEN,3300,5.03,1.5,TEN,"Parris Campbell
3300 5.03"
D,Bengals,CIN,@PIT,2100,4.99,2.4,PIT,"Bengals
2100 4.99"
RB,Salvon Ahmed,MIA,@LV,4100,4.97,1.2,LV,"Salvon Ahmed
4100 4.97"
WR,Trinity Benson,DET,BAL,3000,4.94,1.6,BAL,"Trinity Benson
3000 4.94"
WR,Damiere Byrd,CHI,@CLE,3000,4.87,1.6,CLE,"Damiere Byrd
3000 4.87"
WR,Byron Pringle,KC,LAC,3000,4.81,1.6,LAC,"Byron Pringle
3000 4.81"
D,Lions,DET,BAL,2000,4.81,2.4,BAL,"Lions
2000 4.81"
D,Jets,NYJ,@DEN,2200,4.78,2.2,DEN,"Jets
2200 4.78"
RB,Peyton Barber,LV,MIA,4300,4.76,1.1,MIA,"Peyton Barber
4300 4.76"
D,Jaguars,JAX,ARI,2000,4.61,2.3,ARI,"Jaguars
2000 4.61"
TE,Harrison Bryant,CLE,CHI,2800,4.57,1.6,CHI,"Harrison Bryant
2800 4.57"
RB,Malcolm Brown,MIA,@LV,4400,4.54,1,LV,"Malcolm Brown
4400 4.54"
TE,Will Dissly,SEA,@MIN,2900,4.48,1.5,MIN,"Will Dissly
2900 4.48"
TE,Kyle Rudolph,NYG,ATL,3000,4.42,1.5,ATL,"Kyle Rudolph
3000 4.42"
RB,Justin Jackson,LAC,@KC,4000,4.38,1.1,KC,"Justin Jackson
4000 4.38"
TE,Tyler Kroft,NYJ,@DEN,2700,4.23,1.6,DEN,"Tyler Kroft
2700 4.23"
TE,O.J. Howard,TB,@LAR,2800,4.2,1.5,LAR,"O.J. Howard
2800 4.2"
RB,Tevin Coleman,NYJ,@DEN,4500,4.16,0.9,DEN,"Tevin Coleman
4500 4.16"
RB,Marlon Mack,IND,@TEN,4200,3.92,0.9,TEN,"Marlon Mack
4200 3.92"
TE,Ryan Griffin,NYJ,@DEN,2600,3.89,1.5,DEN,"Ryan Griffin
2600 3.89"
WR,Joshua Palmer,LAC,@KC,3000,3.72,1.2,KC,"Joshua Palmer
3000 3.72"
RB,Devonta Freeman,BAL,@DET,4400,3.63,0.8,DET,"Devonta Freeman
4400 3.63"
RB,Jeremy McNichols,TEN,IND,4800,3.6,0.8,IND,"Jeremy McNichols
4800 3.6"
TE,Jimmy Graham,CHI,@CLE,2900,3.59,1.2,CLE,"Jimmy Graham
2900 3.59"
TE,Donald Parham,LAC,@KC,2800,3.55,1.3,KC,"Donald Parham
2800 3.55"
TE,Mo Alie-Cox,IND,@TEN,2600,3.51,1.3,TEN,"Mo Alie-Cox
2600 3.51"
D,Chargers,LAC,@KC,2300,3.49,1.5,KC,"Chargers
2300 3.49"
RB,Devontae Booker,NYG,ATL,4600,3.38,0.7,ATL,"Devontae Booker
4600 3.38"
RB,Benny Snell,PIT,CIN,4000,3.37,0.8,CIN,"Benny Snell
4000 3.37"
TE,MyCole Pruitt,TEN,IND,2800,3.37,1.2,IND,"MyCole Pruitt
2800 3.37"
TE,Geoff Swaim,TEN,IND,2500,3.35,1.3,IND,"Geoff Swaim
2500 3.35"
RB,Larry Rountree,LAC,@KC,4000,3.33,0.8,KC,"Larry Rountree
4000 3.33"
RB,Samaje Perine,CIN,@PIT,4000,3.26,0.8,PIT,"Samaje Perine
4000 3.26"
TE,Chris Herndon,MIN,SEA,2600,3.23,1.2,SEA,"Chris Herndon
2600 3.23"
RB,Travis Homer,SEA,@MIN,4000,3.19,0.8,MIN,"Travis Homer
4000 3.19"
TE,Luke Farrell,JAX,ARI,2500,3.15,1.3,ARI,"Luke Farrell
2500 3.15"
WR,Lil'Jordan Humphrey,NO,@NE,3200,2.65,0.8,NE,"Lil'Jordan Humphrey
3200 2.65"
TE,Durham Smythe,MIA,@LV,2500,2.5,1,LV,"Durham Smythe
2500 2.5"
