"Pos","Player","Team","Opp","Salary","Proj","Value"
"TE","Mo Alie-Cox","IND","@HOU",3400,7.01,2.1
"D","Dolphins","MIA","NE",2600,6.58,2.5
"TE","Hayden Hurst","CIN","PIT",3300,6.53,2
"RB","Mark Ingram","NO","@ATL",5900,6.48,1.1
"WR","Nelson Agholor","NE","@MIA",3400,6.45,1.9
"WR","Romeo Doubs","GB","@MIN",3000,6.42,2.1
"D","Eagles","PHI","@DET",3100,6.41,2.1
"TE","Logan Thomas","WAS","JAX",3200,6.27,2
"D","Panthers","CAR","CLE",3400,6.25,1.8
"RB","Kenneth Gainwell","PHI","@DET",4600,6.23,1.4
"WR","Bryan Edwards","ATL","NO",4200,6.23,1.5
"D","Jets","NYJ","BAL",2300,6.23,2.7
"D","Chiefs","KC","@ARI",3000,6.22,2.1
"WR","Cedrick Wilson","MIA","NE",3900,6.17,1.6
"D","Patriots","NE","@MIA",2700,6.15,2.3
"D","Packers","GB","@MIN",3200,6.13,1.9
"D","Steelers","PIT","@CIN",2400,6.08,2.5
"TE","Brevin Jordan","HOU","IND",3100,6.03,1.9
"TE","Tyler Conklin","NYJ","BAL",3500,6.02,1.7
"D","Chargers","LAC","LV",3300,6,1.8
"WR","Braxton Berrios","NYJ","BAL",4000,5.88,1.5
"RB","Ameer Abdullah","LV","@LAC",4200,5.86,1.4
"WR","Byron Pringle","CHI","SF",4400,5.84,1.3
"TE","Jonnu Smith","NE","@MIA",2800,5.84,2.1
"D","Jaguars","JAX","@WAS",2500,5.83,2.3
"D","Falcons","ATL","NO",2800,5.78,2.1
"WR","Kendrick Bourne","NE","@MIA",4200,5.72,1.4
"WR","Quez Watkins","PHI","@DET",3400,5.7,1.7
"RB","Kenyan Drake","BAL","@NYJ",5000,5.54,1.1
"RB","Jerick McKinnon","KC","@ARI",4200,5.48,1.3
"D","Bears","CHI","SF",2200,5.43,2.5
"D","Giants","NYG","@TEN",2300,5.35,2.3
"D","Lions","DET","PHI",2000,5.33,2.7
"RB","Damien Williams","ATL","NO",4700,5.31,1.1
"WR","Terrace Marshall","CAR","CLE",4300,5.3,1.2
"WR","Josh Reynolds","DET","PHI",3600,5.15,1.4
"WR","Chris Conley","HOU","IND",3300,5.15,1.6
"D","Vikings","MIN","GB",2200,5.08,2.3
"WR","Olamide Zaccheaus","ATL","NO",4000,5.07,1.3
"D","Texans","HOU","IND",2400,5.07,2.1
"WR","Christian Watson","GB","@MIN",5100,4.95,1
"RB","Alexander Mattison","MIN","GB",6200,4.91,0.8
"WR","Jauan Jennings","SF","@CHI",3100,4.9,1.6
"D","Raiders","LV","@LAC",2100,4.9,2.3
"WR","David Bell","CLE","@CAR",3600,4.88,1.4
"RB","Dontrell Hilliard","TEN","NYG",4500,4.83,1.1
"RB","Khalil Herbert","CHI","SF",5200,4.78,0.9
"TE","Daniel Bellinger","NYG","@TEN",2500,4.77,1.9
"WR","Kyle Philips","TEN","NYG",3000,4.75,1.6
"RB","Boston Scott","PHI","@DET",4500,4.56,1
"RB","Ronald Jones","KC","@ARI",5200,4.54,0.9
"TE","Adam Trautman","NO","@ATL",3100,4.48,1.4
"TE","Isaiah Likely","BAL","@NYJ",2500,4.47,1.8
"D","Cardinals","ARI","KC",2900,4.41,1.5
"TE","Donald Parham","LAC","LV",2800,4.35,1.6
"RB","Tyler Allgeier","ATL","NO",4500,4.34,1
"TE","Dan Arnold","JAX","@WAS",2800,4.31,1.5
"WR","Mack Hollins","LV","@LAC",3000,4.26,1.4
"RB","Jeff Wilson","SF","@CHI",5100,4.2,0.8
"WR","James Proche","BAL","@NYJ",3300,4.14,1.3
"WR","Chris Moore","HOU","IND",3000,4.14,1.4
"WR","Darius Slayton","NYG","@TEN",4200,4.13,1
"WR","Equanimeous St. Brown","CHI","SF",3000,4.12,1.4
"TE","Tyler Kroft","SF","@CHI",2700,4.06,1.5
"QB","Taysom Hill","NO","@ATL",4600,4.02,0.9
"WR","Velus Jones","CHI","SF",3600,4.02,1.1
"TE","Harrison Bryant","CLE","@CAR",2900,4.02,1.4
"RB","Samaje Perine","CIN","PIT",5000,3.99,0.8
"RB","Zamir White","LV","@LAC",4700,3.97,0.8
"WR","Quintez Cephus","DET","PHI",3000,3.96,1.3
"RB","Eno Benjamin","ARI","KC",4200,3.93,0.9
"TE","Foster Moreau","LV","@LAC",3200,3.93,1.2
"WR","Greg Dortch","ARI","KC",3000,3.93,1.3
"WR","Rashard Higgins","CAR","CLE",3400,3.9,1.1
