"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Dylan Carlson","OF","STL",2700,6.76,2.5,"OF","","OF","SD - Darvish ( R )"
"Mike Yastrzemski","OF","SF",4900,6.72,1.4,"OF","","OF","ATL - Morton ( R )"
"Yan Gomes","C","OAK",5100,6.7,1.3,"C","","C","@LAA - Suarez ( L )"
"Luis Torrens","C","SEA",4000,6.69,1.7,"C","","C","@KC - Bubic ( L )"
"Michael A. Taylor","OF","KC",2200,6.68,3,"OF","","OF","SEA - Kikuchi ( L )"
"David Peralta","OF","ARI",3500,6.67,1.9,"OF","","OF","@HOU - McCullers ( R )"
"Max Stassi","C","LAA",2900,6.6,2.3,"C","","C","OAK - Jefferies ( R )"
"Hunter Dozier","1B/OF","KC",2400,6.56,2.7,"1B/OF","OF","1B","SEA - Kikuchi ( L )"
"Tom Murphy","C","SEA",3900,6.53,1.7,"C","","C","@KC - Bubic ( L )"
"Pavin Smith","1B/OF","ARI",3100,6.53,2.1,"1B/OF","OF","1B","@HOU - McCullers ( R )"
"Brandon Marsh","OF","LAA",2100,6.53,3.1,"OF","","OF","OAK - Jefferies ( R )"
"Phil Gosselin","3B/OF","LAA",2500,6.49,2.6,"3B/OF","OF","3B","OAK - Jefferies ( R )"
"Manny Pina","C","MIL",3000,6.48,2.2,"C","","C","CHC - Steele ( L )"
"Ian Happ","OF","CHC",3400,6.46,1.9,"OF","","OF","@MIL - Burnes ( R )"
"Nick Solak","2B","TEX",3300,6.36,1.9,"2B","","2B","CWS - Lynn ( R )"
"Patrick Wisdom","3B","CHC",4000,6.34,1.6,"3B","","3B","@MIL - Burnes ( R )"
"Kole Calhoun","OF","ARI",2600,6.34,2.4,"OF","","OF","@HOU - McCullers ( R )"
"Leody Taveras","OF","TEX",3600,6.29,1.7,"OF","","OF","CWS - Lynn ( R )"
"Christian Walker","1B","ARI",3000,6.24,2.1,"1B","","1B","@HOU - McCullers ( R )"
"Wilmer Flores","1B/3B","SF",2200,6.24,2.8,"1B/3B","3B","1B","ATL - Morton ( R )"
"Willson Contreras","C","CHC",4000,6.23,1.6,"C","","C","@MIL - Burnes ( R )"
"Didi Gregorius","SS","PHI",3400,6.21,1.8,"SS","","SS","@NYM - Carrasco ( R )"
"Harrison Bader","OF","STL",2400,6.21,2.6,"OF","","OF","SD - Darvish ( R )"
"Rafael Ortega","OF","CHC",3300,6.2,1.9,"OF","","OF","@MIL - Burnes ( R )"
"Freddy Galvis","3B/SS","PHI",3700,6.09,1.6,"3B/SS","SS","3B","@NYM - Carrasco ( R )"
"Yadier Molina","C","STL",3300,5.98,1.8,"C","","C","SD - Darvish ( R )"
"Darin Ruf","1B/OF","SF",3700,5.96,1.6,"1B/OF","OF","1B","ATL - Morton ( R )"
"Elvis Andrus","SS","OAK",3300,5.96,1.8,"SS","","SS","@LAA - Suarez ( L )"
"Romy Gonzalez","3B/OF","CWS",2400,5.95,2.5,"3B/OF","OF","3B","@TEX - Howard ( R )"
"Jeff McNeil","OF","NYM",3400,5.89,1.7,"OF","","OF","PHI - Nola ( R )"
"Jack Mayfield","3B/SS","LAA",2300,5.86,2.5,"3B/SS","SS","3B","OAK - Jefferies ( R )"
"Andy Ibanez","1B/2B","TEX",4800,5.84,1.2,"1B/2B","2B","1B","CWS - Lynn ( R )"
"Marwin Gonzalez","3B/OF","HOU",2000,5.76,2.9,"3B/OF","OF","3B","ARI - Castellanos ( R )"
"James McCann","C","NYM",2800,5.75,2.1,"C","","C","PHI - Nola ( R )"
"Chad Pinder","OF","OAK",3100,5.74,1.9,"OF","","OF","@LAA - Suarez ( L )"
"Willie Calhoun","OF","TEX",2500,5.71,2.3,"OF","","OF","CWS - Lynn ( R )"
"Martin Maldonado","C","HOU",2500,5.68,2.3,"C","","C","ARI - Castellanos ( R )"
"Khris Davis","OF","OAK",3800,5.62,1.5,"OF","","OF","@LAA - Suarez ( L )"
"Luis Rengifo","3B/SS","LAA",2400,5.6,2.3,"3B/SS","SS","3B","OAK - Jefferies ( R )"
"Hanser Alberto","2B/3B","KC",2300,5.56,2.4,"2B/3B","3B","2B","SEA - Kikuchi ( L )"
"Edmundo Sosa","SS","STL",2300,5.5,2.4,"SS","","SS","SD - Darvish ( R )"
"Jonah Heim","C","TEX",3600,5.39,1.5,"C","","C","CWS - Lynn ( R )"
