"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Adam Engel","OF","CWS",2200,9.77,4.4,"OF","","OF","@HOU - Valdez ( L )"
"Alex Bregman","3B","HOU",3000,9.76,3.3,"3B","","3B","CWS - Giolito ( R )"
"Kolten Wong","2B","MIL",3000,9.75,3.2,"2B","","2B","ATL - Morton ( R )"
"Adam Duvall","OF","ATL",3200,9.74,3,"OF","","OF","@MIL - Burnes ( R )"
"Avisail Garcia","OF","MIL",2700,9.69,3.6,"OF","","OF","ATL - Morton ( R )"
"Alex Verdugo","OF","BOS",2900,9.68,3.3,"OF","","OF","@TB - Baz ( R )"
"Evan Longoria","3B","SF",2700,9.64,3.6,"3B","","3B","LAD - Buehler ( R )"
"Buster Posey","1B","SF",3300,9.55,2.9,"1B","","C1B","LAD - Buehler ( R )"
"Yoan Moncada","3B","CWS",2900,9.53,3.3,"3B","","3B","@HOU - Valdez ( L )"
"Brandon Crawford","SS","SF",3300,9.5,2.9,"SS","","SS","LAD - Buehler ( R )"
"Yandy Diaz","1B/3B","TB",2800,9.47,3.4,"1B/3B","3B","C1B","BOS - Sale ( L )"
"Eduardo Escobar","3B/2B","MIL",3200,9.34,2.9,"3B/2B","2B","3B","ATL - Morton ( R )"
"Lorenzo Cain","OF","MIL",2500,9.34,3.7,"OF","","OF","ATL - Morton ( R )"
"Kris Bryant","3B/OF","SF",3500,9.31,2.7,"3B/OF","OF","3B","LAD - Buehler ( R )"
"Jorge Soler","OF","ATL",3500,9.18,2.6,"OF","","OF","@MIL - Burnes ( R )"
"Michael Brantley","OF","HOU",2400,9.15,3.8,"OF","","OF","CWS - Giolito ( R )"
"Mike Yastrzemski","OF","SF",3100,8.97,2.9,"OF","","OF","LAD - Buehler ( R )"
"Dansby Swanson","SS","ATL",2700,8.9,3.3,"SS","","SS","@MIL - Burnes ( R )"
"Yuli Gurriel","1B","HOU",3000,8.82,2.9,"1B","","C1B","CWS - Giolito ( R )"
"Eloy Jimenez","OF","CWS",2900,8.77,3,"OF","","OF","@HOU - Valdez ( L )"
"Bobby Dalbec","1B","BOS",2300,8.71,3.8,"1B","","C1B","@TB - Baz ( R )"
"Eddie Rosario","OF","ATL",3000,8.6,2.9,"OF","","OF","@MIL - Burnes ( R )"
"Carlos Correa","SS","HOU",3500,8.59,2.5,"SS","","SS","CWS - Giolito ( R )"
"Ji-Man Choi","1B","TB",2300,8.34,3.6,"1B","","C1B","BOS - Sale ( L )"
"Manuel Margot","OF","TB",2400,8.33,3.5,"OF","","OF","BOS - Sale ( L )"
